custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
m_0,3.897,36.9197,662.05,0,82.66223335703943,0.7105825179146785
m_1,3.5015,36.7422,461.15,0,277.6091872882388,1.0746773372008585
m_2,3.606,36.7794,389.99,0,367.9317237364283,1.301812421829339
m_3,3.4224,36.7194,376.91,0,383.4149746356361,1.3536229189995594
m_4,3.4567,36.7518,214.76,0,504.92742542333514,2.5760773433037185
m_5,3.4761,36.765,388.32,0,369.94059844834635,1.3082191373161765
m_6,3.3388,36.7362,264.46,0,482.7101586727509,2.0301762811101556
m_7,3.5627,36.7182,561.19,0,161.04934523669894,0.8584832571318615
m_8,3.8507,36.8525,436.95,0,308.83407532510415,1.1430353648930047
m_9,3.7149,36.7494,292.85,0,464.1681439696379,1.8066392488934493
m_10,3.3119,36.7902,404.75,0,349.8271319825135,1.2476472604352833
m_11,3.8567,36.9137,600.0,0,125.83403858285287,0.7952589249703402
m_12,3.5119,36.7614,626.82,0,105.26365764130188,0.756453379455993
m_13,3.5582,36.801,600.0,0,125.83403858285287,0.7952589249703402
m_14,3.7313,36.8825,678.58,0,73.64610437773855,0.6908153432480525
m_15,3.3612,36.6871,352.14,0,410.89702907659665,1.4630905676774821
m_16,3.6224,36.7206,326.63,0,436.15927214475784,1.5945327261000377
m_17,3.8836,36.8705,496.85,0,232.7158329241488,0.9868061460227101
m_18,3.8567,36.8249,420.65,0,329.7659669568806,1.1938453723715496
m_19,3.2687,36.7266,234.35,0,497.61141761340605,2.33124581986782
m_20,3.8299,36.7974,572.29,0,150.31677607044696,0.8394613362943697
m_21,3.194,36.7038,224.02,0,501.6865630060679,2.4546269104160197
s_22,3.39,36.65,420.75,0,329.63842893092806,1.1935207768318885
s_23,3.22,36.71,231.85,0,498.6436609611575,2.3600253044436847
m_24,3.4761,36.6427,506.4,0,221.18683157903791,0.9655456082887753
m_25,3.5806,36.6703,713.58,0,57.5068165276321,0.6521915513831579
m_26,3.6,36.6799,436.33,0,309.634053003394,1.1448936259208828
m_27,3.2522,36.8153,600.0,0,125.83403858285287,0.7952589249703402
m_28,3.3313,36.6499,396.96,0,359.456409770891,1.2756963229563734
m_29,3.8313,36.7362,367.68,0,393.96045184025974,1.392566342075526
m_30,3.9507,36.7986,453.88,0,286.9690855248758,1.0943922914874302
m_31,4.006,36.8285,629.32,0,103.49872769784305,0.7530165950471762
m_32,3.7,36.6391,516.8,0,208.94076972065704,0.9433495280427502
m_33,4.1313,36.8825,614.85,0,114.07082905578542,0.7733242753658199
m_34,3.5881,36.5588,490.31,0,240.75040790185875,1.0018784684360993
m_35,3.9,36.729,891.27,0,16.410788749336792,0.5057116472737041
m_36,4.0313,36.7998,530.31,0,193.57281698386194,0.91590719774036
m_37,3.8224,36.6715,704.76,0,61.222382599824066,0.6615373904405647
m_38,4.0761,36.789,756.72,0,42.28473873661703,0.6098340916760467
m_39,3.1284,36.7182,290.22,0,466.0771585023874,1.8253809246027672
s_40,3.07,36.72,392.41,0,365.00531447660865,1.2926321294219676
m_41,3.0791,36.729,441.32,0,303.19139289877427,1.1300962997823076
m_42,3.0731,36.7494,596.38,0,128.84436621548258,0.8007836352682508
m_43,3.0522,36.7698,678.07,0,73.91014191523847,0.6914097820608496
s_44,3.09,36.75,434.14,0,312.4581867081389,1.1515030399191106
s_45,4.04,36.7,376.95,0,383.36855088034054,1.3534585966451176
m_46,3.9836,36.7482,286.14,0,468.9606897609948,1.855187010827662
m_47,3.2224,36.6199,550.64,0,171.72990915325656,0.8773257346330541
m_48,3.9821,36.729,404.14,0,350.586569442578,1.2498018423684274
m_49,3.6791,36.5276,384.86,0,374.07403035735655,1.321682704938889
m_50,3.4328,36.482,900.0,0,15.458011655936474,0.5001037964306755
m_51,3.1403,36.6511,247.34,0,491.7550065165947,2.191718827843228
m_52,3.0955,36.699,380.57,0,379.1426814351019,1.3387406687073282
m_53,4.0731,36.7194,683.54,0,71.12362958271784,0.685083711088951
m_54,3.7522,36.5168,454.71,0,285.89871123668195,1.0921072950543658
s_55,2.6,36.46,328.37,0,434.54431608393577,1.5848704540419918
m_56,3.0418,36.7986,588.36,0,135.71475306588692,0.8132832556049374
m_57,3.2925,36.4688,505.98,0,221.68840054137806,0.9664625478395494
m_58,4.3328,36.7986,833.29,0,24.558124293248135,0.546163614081339
m_59,3.3104,36.4089,496.51,0,233.13088023845202,0.9875792362709973
m_60,4.4313,36.8885,541.8,0,181.0291143056263,0.8937205938325532
m_61,2.9896,36.7074,376.79,0,383.55420980002805,1.3541161104722887
m_62,4.1552,36.6463,900.0,0,15.458011655936474,0.5001037964306755
m_63,2.9597,36.7698,480.16,0,253.41333447305837,1.0261433223006382
m_64,3.3224,36.3705,495.45,0,234.42677078784476,0.9899967606420281
m_65,4.3731,36.7494,551.28,0,171.0689040455492,0.8761606477436692
m_66,3.6,36.3189,417.8,0,333.3946739215507,1.2031663907504202
m_67,4.2134,36.6283,574.14,0,148.57911773332503,0.8363676249791033
m_68,2.9134,36.801,489.93,0,241.22043674435656,1.0027674952865353
m_69,2.9104,36.6894,245.93,0,492.431611931121,2.2061001035827834
