custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_0,34.85533,-13.57269,408.0,False,345.76673,1.23628
t_1,34.76549,-13.57269,600.0,False,125.83404,0.79526
t_2,34.94516,-16.69404,321.0,False,441.2715,1.62657
t_3,34.94516,-16.26333,190.0,False,511.85979,2.9636
t_4,35.12482,-15.83167,617.0,False,112.44503,0.77024
t_5,35.48415,-15.83167,230.0,False,499.3884,2.38175
t_6,35.66381,-15.83167,622.0,False,108.73869,0.76316
t_7,35.30448,-15.83167,298.0,False,460.31564,1.77097
t_8,34.76549,-15.83167,429.0,False,319.07385,1.1673
t_9,34.58583,-15.83167,478.0,False,256.13471,1.03145
t_10,34.94516,-15.83167,571.0,False,151.53712,0.84163
t_11,35.12482,-15.65875,487.0,False,244.85568,1.00967
t_12,35.30448,-15.65875,295.0,False,462.57823,1.79158
t_13,35.66381,-15.65875,393.0,False,364.28917,1.29041
t_14,35.48415,-15.65875,245.0,False,492.87234,2.21568
t_15,34.58583,-15.65875,394.0,False,363.07302,1.28667
t_16,34.76549,-15.65875,442.0,False,302.31289,1.12811
t_17,34.94516,-15.65875,288.0,False,467.65789,1.84149
t_18,35.66381,-15.48568,220.0,False,503.13996,2.50601
t_19,35.12482,-15.48568,900.0,False,15.45801,0.5001
t_20,34.58583,-15.48568,707.0,False,60.25743,0.65914
t_21,34.94516,-15.48568,321.0,False,441.2715,1.62657
t_22,35.30448,-15.48568,664.0,False,81.5484,0.7082
t_23,34.76549,-15.48568,321.0,False,441.2715,1.62657
t_24,35.48415,-15.48568,340.0,False,423.33576,1.52301
t_25,34.58583,-15.31247,650.0,False,89.85528,0.72567
t_26,35.12482,-15.31247,284.0,False,470.4353,1.87119
t_27,34.76549,-15.31247,522.0,False,202.95005,0.93261
t_28,35.30448,-15.31247,771.0,False,38.18985,0.59693
t_29,35.66381,-15.31247,600.0,False,125.83404,0.79526
t_30,35.48415,-15.31247,279.0,False,473.77959,1.9096
t_31,34.94516,-15.31247,265.0,False,482.39935,2.02544
t_32,34.94516,-15.13911,292.0,False,464.78944,1.81266
t_33,35.66381,-15.13911,180.0,False,514.02191,3.15269
t_34,35.48415,-15.13911,770.0,False,38.46309,0.59782
t_35,35.12482,-15.13911,265.0,False,482.39935,2.02544
t_36,34.76549,-15.13911,496.0,False,233.75401,0.98874
t_37,35.30448,-15.13911,542.0,False,180.81528,0.89334
t_38,34.58583,-15.13911,377.0,False,383.31051,1.35325
t_39,34.94516,-14.96562,313.0,False,448.23398,1.67421
t_40,35.66381,-14.96562,245.0,False,492.87234,2.21568
t_41,35.48415,-14.96562,340.0,False,423.33576,1.52301
t_42,34.76549,-14.96562,285.0,False,469.74946,1.86368
t_43,35.30448,-14.96562,257.0,False,486.84252,2.09773
t_44,35.12482,-14.96562,319.0,False,443.04555,1.63824
t_45,35.12482,-14.79198,393.0,False,364.28917,1.29041
t_46,35.30448,-14.79198,265.0,False,482.39935,2.02544
t_47,34.58583,-14.79198,554.0,False,168.27835,0.87124
t_48,35.48415,-14.79198,411.0,False,341.99864,1.22597
t_49,34.94516,-14.79198,330.0,False,433.01662,1.57592
t_50,35.66381,-14.79198,285.0,False,469.74946,1.86368
t_51,34.76549,-14.79198,364.0,False,398.06779,1.40868
t_52,35.30448,-14.6182,600.0,False,125.83404,0.79526
t_53,35.66381,-14.6182,472.0,False,263.736,1.04646
t_54,35.48415,-14.6182,375.0,False,385.62465,1.36151
t_55,34.58583,-14.6182,572.0,False,150.5905,0.83995
t_56,35.12482,-14.6182,388.0,False,370.32452,1.30945
t_57,34.94516,-14.6182,345.0,False,418.30139,1.49778
t_58,34.76549,-14.6182,314.0,False,447.38324,1.66812
t_59,35.12482,-14.44428,433.0,False,313.92715,1.15497
t_60,34.76549,-14.44428,273.0,False,477.60712,1.95769
t_61,35.48415,-14.44428,501.0,False,227.6746,0.97746
t_62,34.94516,-14.44428,351.0,False,412.09584,1.46853
t_63,34.58583,-14.44428,572.0,False,150.5905,0.83995
t_64,35.30448,-14.44428,311.0,False,449.91856,1.68654
t_65,35.48415,-14.27023,336.0,False,427.27108,1.54377
t_66,34.94516,-14.27023,437.0,False,308.76955,1.14289
t_67,34.76549,-14.27023,196.0,False,510.39566,2.86004
t_68,34.58583,-14.27023,247.0,False,491.91909,2.19517
t_69,35.12482,-14.27023,600.0,False,125.83404,0.79526
t_70,35.30448,-14.27023,730.0,False,51.16382,0.63544
t_71,34.85533,-14.09604,600.0,False,125.83404,0.79526
t_72,34.94516,-14.09604,600.0,False,125.83404,0.79526
t_73,35.30448,-14.09604,419.0,False,331.86827,1.19923
t_74,35.12482,-14.09604,600.0,False,125.83404,0.79526
t_75,34.67566,-14.09604,600.0,False,125.83404,0.79526
t_76,34.76549,-14.09604,600.0,False,125.83404,0.79526
t_77,34.85533,-14.0089,628.0,False,104.42744,0.75483
t_78,34.76549,-14.0089,600.0,False,125.83404,0.79526
t_79,34.94516,-14.0089,600.0,False,125.83404,0.79526
t_80,34.67566,-14.0089,600.0,False,125.83404,0.79526
t_81,35.12482,-13.92173,293.0,False,464.05808,1.80558
t_82,34.67566,-13.92173,600.0,False,125.83404,0.79526
t_83,34.94516,-13.92173,600.0,False,125.83404,0.79526
t_84,34.76549,-13.92173,600.0,False,125.83404,0.79526
t_85,34.85533,-13.92173,600.0,False,125.83404,0.79526
t_86,34.67566,-13.83452,600.0,False,125.83404,0.79526
t_87,34.76549,-13.83452,600.0,False,125.83404,0.79526
t_88,34.94516,-13.83452,600.0,False,125.83404,0.79526
t_89,34.85533,-13.83452,600.0,False,125.83404,0.79526
t_90,34.67566,-13.74727,600.0,False,125.83404,0.79526
t_91,34.76549,-13.74727,600.0,False,125.83404,0.79526
t_92,34.85533,-13.74727,600.0,False,125.83404,0.79526
t_93,34.94516,-13.74727,600.0,False,125.83404,0.79526
t_94,34.58583,-13.66,205.0,False,507.9474,2.71686
t_95,34.76549,-13.66,600.0,False,125.83404,0.79526
t_96,34.85533,-13.66,367.0,False,394.72373,1.39552
t_97,34.94516,-13.66,285.0,False,469.74946,1.86368
t_98,34.67566,-13.66,600.0,False,125.83404,0.79526
t_99,34.22651,-14.44428,408.0,False,345.76673,1.23628
t_100,34.40617,-14.44428,425.0,False,324.20588,1.17988
t_101,33.68752,-14.27023,338.0,False,425.31379,1.53332
t_102,34.22651,-14.27023,443.0,False,301.02085,1.12519
t_103,34.40617,-14.27023,579.0,False,144.08433,0.82834
t_104,33.86718,-14.27023,287.0,False,468.36076,1.84883
t_105,34.04684,-14.27023,275.0,False,476.35366,1.94141
t_106,34.13667,-14.09604,437.0,False,308.76955,1.14289
t_107,33.86718,-14.09604,334.0,False,429.20744,1.55435
t_108,34.22651,-14.09604,401.0,False,354.48169,1.261
t_109,33.68752,-14.09604,341.0,False,422.33904,1.5179
t_110,34.31634,-14.09604,571.0,False,151.53712,0.84163
t_111,34.04684,-14.09604,382.0,False,377.46027,1.33301
t_112,34.40617,-14.09604,715.0,False,56.92934,0.65071
t_113,34.496,-14.09604,300.0,False,458.77871,1.75747
t_114,34.58583,-14.09604,600.0,False,125.83404,0.79526
t_115,33.50785,-14.09604,286.0,False,469.05795,1.85623
t_116,34.04684,-14.0089,365.0,False,396.95737,1.40427
t_117,34.22651,-14.0089,614.0,False,114.71894,0.77455
t_118,34.31634,-14.0089,436.0,False,310.05977,1.14589
t_119,34.40617,-14.0089,358.0,False,404.63815,1.43573
t_120,34.496,-14.0089,294.0,False,463.321,1.79856
t_121,34.58583,-14.0089,600.0,False,125.83404,0.79526
t_122,34.13667,-14.0089,387.0,False,371.52215,1.31333
t_123,34.13667,-13.92173,573.0,False,149.64815,0.83827
t_124,34.04684,-13.92173,664.0,False,81.5484,0.7082
t_125,33.86718,-13.92173,348.0,False,415.22066,1.48302
t_126,34.58583,-13.92173,600.0,False,125.83404,0.79526
t_127,33.50785,-13.92173,288.0,False,467.65789,1.84149
t_128,33.32819,-13.92173,280.0,False,473.12203,1.9018
t_129,34.22651,-13.92173,382.0,False,377.46027,1.33301
t_130,33.68752,-13.92173,336.0,False,427.27108,1.54377
t_131,34.31634,-13.92173,769.0,False,38.73831,0.59871
t_132,34.496,-13.92173,279.0,False,473.77959,1.9096
t_133,34.40617,-13.92173,406.0,False,348.26823,1.24325
t_134,34.31634,-13.83452,349.0,False,414.18391,1.47816
