# 20091219_M6.0_Karonga median gmf, Stations:None, gmlt:USGS, Rupture:HolmgrenEtAl2023
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
t_0,33.36884,-14.05999,0.00027500166,0.0003812287,0.0003137573,0.0002660104
t_1,33.36884,-13.62388,0.00042970304,0.00060801976,0.00047005876,0.0004335134
t_10,33.818,-13.62388,0.0003651382,0.0004911581,0.00042541276,0.00036188174
t_100,33.72817,-9.84258,0.07085384,0.08559979,0.06980863,0.06157843
t_101,33.99766,-9.84258,0.04978345,0.061777536,0.05151377,0.04325234
t_102,33.90783,-9.75406,0.04208063,0.05264379,0.04363461,0.035852812
t_103,33.72817,-9.75406,0.047926843,0.06040191,0.047135394,0.04053583
t_104,33.818,-9.75406,0.0504791,0.065376766,0.049572207,0.043985326
t_105,33.18918,-9.48835,0.012704238,0.017787589,0.01353658,0.011491374
t_106,33.45867,-9.66551,0.019202853,0.023630444,0.021607887,0.015544819
t_107,33.63834,-9.66551,0.027776053,0.03449596,0.029360628,0.022517787
t_108,33.36884,-9.66551,0.025406294,0.035303704,0.024722116,0.021906463
t_109,33.54851,-9.66551,0.022172878,0.027001215,0.024663216,0.017832547
t_11,33.818,-13.18696,0.00072988565,0.0010625592,0.00075776206,0.00076532597
t_110,33.54851,-9.48835,0.018660836,0.025152102,0.019772531,0.015958156
t_111,33.36884,-9.48835,0.011416365,0.014333649,0.013913099,0.009619576
t_112,33.90783,-9.66551,0.04622574,0.063398264,0.041183885,0.040460583
t_113,33.818,-9.66551,0.035165526,0.04604936,0.035277348,0.02986483
t_114,33.72817,-9.66551,0.027873565,0.034033053,0.030152544,0.02267567
t_115,33.72817,-9.48835,0.019845689,0.026441243,0.021095727,0.016909694
t_116,33.00952,-9.3111,0.007740755,0.010942613,0.0081061125,0.0073880428
t_118,35.16547,-14.05999,0.00015595555,0.00019203045,0.00020612223,0.00014154623
t_12,33.818,-12.74926,0.0009729113,0.0013610031,0.0010490231,0.001019843
t_120,34.71632,-14.49527,0.00016940701,0.00022985648,0.00020256292,0.00015499312
t_121,34.71632,-14.05999,0.00017578382,0.00021813947,0.00022922472,0.00016146924
t_122,34.71632,-13.62388,0.00027625967,0.00035139767,0.0003434018,0.00026559745
t_123,34.26716,-14.05999,0.00023224528,0.00030783803,0.0002806995,0.00022078786
t_124,34.26716,-13.62388,0.000447348,0.0006402261,0.00048212722,0.00045313066
t_125,34.26716,-13.18696,0.0007366308,0.0010840126,0.00075464445,0.0007742194
t_126,34.26716,-12.74926,0.0012878225,0.0019623702,0.0012436266,0.0013937353
t_127,34.26716,-12.3108,0.0013525896,0.0018339792,0.0014921532,0.0013994953
t_128,34.08749,-12.3108,0.0014040883,0.0019054699,0.0015463671,0.0014526169
t_129,34.08749,-12.13521,0.0017549832,0.002392439,0.0019160566,0.0018106326
t_13,33.72817,-12.3108,0.0014988964,0.002064184,0.0016250258,0.0015607143
t_130,34.26716,-12.13521,0.001683079,0.002292527,0.0018402343,0.0017378293
t_131,34.08749,-11.9595,0.0031131734,0.0046876017,0.0030028815,0.0033205703
t_132,34.44682,-11.78368,0.0024821316,0.0034016112,0.0026862724,0.0025400545
t_133,34.44682,-11.60775,0.0031287589,0.004294128,0.003378094,0.00316212
t_134,34.44682,-11.43171,0.00397185,0.005450602,0.004291544,0.0039463677
t_135,34.26716,-11.9595,0.002108486,0.0028820417,0.0022895266,0.0021684845
t_136,34.26716,-11.78368,0.0026624238,0.0036503545,0.002878628,0.002714107
t_137,34.08749,-11.78368,0.0029469188,0.004101085,0.003132748,0.0030073808
t_138,34.26716,-11.60775,0.00397565,0.0057217753,0.0040682615,0.004081144
t_139,34.08749,-11.60775,0.0041126246,0.0058666277,0.0042465017,0.004173305
t_14,33.90783,-12.3108,0.0012459687,0.0016242513,0.0014385765,0.0012671181
t_140,34.08749,-11.43171,0.0047793332,0.0065781106,0.0051439162,0.00467117
t_141,34.26716,-11.43171,0.0036164187,0.0047065113,0.004186589,0.0034912426
t_142,34.08749,-11.25555,0.007852376,0.011428069,0.007904063,0.0076752463
t_143,34.26716,-11.25555,0.0057049445,0.007800895,0.0062128888,0.0054822043
