STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V,VS30,VS30_TYPE ,MAX_ACC_(CM/S2),VS30_TYPE,STATION_STATUS,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
CCTG,CCTG,9.867,-83.892,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.256,0,0.256,0.209,0.128,265,measured ,,,,,,,,,,,,,
SISD,SISD,9.373,-83.705,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.19,0,0.19,0.14,0.129,555,measured ,,,,,,,,,,,,,
SCMA,SCMA,9.387,-84.053,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.188,0,0.146,0.188,0.118,265,measured ,,,,,,,,,,,,,
CCCH,CCCH,9.843,-83.806,seismic,https://www.lis.ucr.ac.cr/Descargas,S1,0.138,0,0.138,0.074,0.0547,760,measured ,,,,,,,,,,,,,
SHTO,SHTO,9.916,-84.099,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.118,0,0.118,0.0777,0.0519,265,measured ,,,,,,,,,,,,,
AALJ,AALJ,10.02,-84.217,seismic,https://www.lis.ucr.ac.cr/Descargas,S4,0.108,0,0.108,0.106,0.0448,180,measured ,,,,,,,,,,,,,
SGTS,SGTS,9.871,-84.038,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.102,0,0.102,0.0649,0.0427,265,measured ,,,,,,,,,,,,,
ASRM,ASRM,10.087,-84.485,seismic,https://www.lis.ucr.ac.cr/Descargas,S4,0.0922,0,0.0913,0.0922,0.0752,180,measured ,,,,,,,,,,,,,
SBN1,SBN1,9.936,-84.082,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.0742,0,0.0742,0.0686,0.0769,265,measured ,,,,,,,,,,,,,
SAU1,SAU1,9.938,-84.077,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.0725,0,0.0725,0.0588,0.0335,265,measured ,,,,,,,,,,,,,
CTG,Parque Central de Cartago,9.864,-83.92,seismic,RSN - https://www.lis.ucr.ac.cr/78,,0.2608,0,,,,,,255.8,measured,INAC,,,,,,,,,,
ISD,Oficinas del INS en San Isidro de El General,9.37241,-83.702925,seismic,RSN - https://www.lis.ucr.ac.cr/88,,0.1927,0,,,,,,189,measured,INAC,,,,,,,,,,
CMA,"Biblioteca Carlos Monge Alfaro, UCR",9.935,-84.05,seismic,RSN - https://www.lis.ucr.ac.cr/83,,0.1909,0,,,,,,187.2,measured,INAC,,,,,,,,,,
CCH,Represa Cachí,9.843,-83.806,seismic,RSN - https://www.lis.ucr.ac.cr/77,S1,0.1409,0,,,,760,,138.2,measured,INAC,,,,,,,,,,
HTO,"Hatillo, San José",9.918546,-84.104102,seismic,RSN - https://www.lis.ucr.ac.cr/85,,0.1199,0,,,,,,117.6,measured,INAC,,,,,,,,,,
ALJ,"CIPET, Alajuela. Actual Museo Juan Santamaría",10.02,-84.217,seismic,RSN - https://www.lis.ucr.ac.cr/75,S4,0.1099,0,,,,180,,107.8,measured,INAC,,,,,,,,,,
GTS,"Guatuso de Patarrá, Desamparados",9.869,-84.036,seismic,RSN - https://www.lis.ucr.ac.cr/84,S3,0.1049,0,,,,265,,102.9,measured,ACTI,,,,,,,,,,
SRM,San Ramón UCR,10.087,-84.485,seismic,RSN - https://www.lis.ucr.ac.cr/76,S4,0.0939,0,,,,180,,92.1,measured,ACTI,,,,,,,,,,
ICE,Edificio del ICE,9.933267,-84.078264,seismic,RSN - https://www.lis.ucr.ac.cr/86,,0.092,0,,,,,,90.2,measured,INAC,,,,,,,,,,
BNC,Banco Nacional,9.935,-84.08,seismic,RSN - https://www.lis.ucr.ac.cr/82,,0.0779,0,,,,,,76.4,measured,INAC,,,,,,,,,,
AUR,Hotel Aurola Holiday INN,9.936,-84.075,seismic,RSN - https://www.lis.ucr.ac.cr/81,,0.0739,0,,,,,,72.5,measured,INAC,,,,,,,,,,
GLF,Golfito,8.635,-83.171,seismic,RSN - https://www.lis.ucr.ac.cr/79,S1,0.056,0,,,,760,,54.9,measured,INAC,,,,,,,,,,
QPS,Quepos,9.432,-84.166,seismic,RSN - https://www.lis.ucr.ac.cr/80,S2,0.036,0,,,,555,,35.3,measured,INAC,,,,,,,,,,
