FIELD,DESCRIPTION
Year,2017
Country,Costa Rica
Region,Caribbean Central America
Event Name,Puntarenas 2017
Local Date,12/11/2017
Local Time,08:28:23
Latitude (decimal degrees),9.448
Longitude (decimal degrees),-84.544
Depth (km),22
Mw,6.5
Max Intensity (MMI),VIII
Fault mechanism,Reverse Fault
Tectonic region type,Subduction Interface
Fatalities,2-3
Injured,
Displaced population,
Affected population,
Affected units,
Damaged units,
Collapsed units,
Economic losses,
Insured losses,
Earthquake-triggered effects,
USGS event ID,us2000bmhe
Wikipedia page,https://en.wikipedia.org/wiki/2017 Costa Rica earthquake
