custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
m_0,-73.05,-36.84,542.25,0,180.54821,0.89287
m_1,-72.66,-38.98,270.11,0,479.37907,1.98167
m_2,-72.63,-39.55,533.01,0,190.58018,0.9106
m_3,-72.77,-39.43,413.21,0,339.21142,1.21847
m_4,-72.95,-39.64,241.64,0,494.42824,2.25096
m_5,-72.91,-39.52,260.44,0,484.97421,2.06607
m_6,-72.58,-38.75,250.05,0,490.42593,2.16457
m_7,-73.25,-39.82,353.13,0,409.85093,1.4584
m_8,-72.46,-39.82,531.1,0,192.69439,0.91435
m_9,-73.03,-40.25,343.3,0,420.02726,1.50627
m_10,-73.15,-40.58,407.2,0,346.76838,1.23906
m_11,-72.92,-40.33,311.43,0,449.55828,1.68387
m_12,-73.23,-40.78,393.23,0,364.00972,1.28955
m_13,-73.18,-40.9,246.2,0,492.30283,2.20333
m_14,-73.02,-41.24,286.98,0,468.37476,1.84898
m_15,-72.67,-36.5,399.37,0,356.49398,1.26689
m_16,-73.0,-41.13,600.0,0,125.83404,0.79526
m_17,-72.93,-41.48,518.77,0,206.66042,0.93925
m_18,-72.93,-41.32,357.46,0,405.22156,1.43821
m_19,-72.93,-41.47,518.77,0,206.66042,0.93925
m_20,-73.82,-41.86,359.79,0,402.69479,1.42756
