STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE
AC04,AC04,-28.205,-71.074,seismic,Stations_CSN,0.027635307,0.0597592596,0.0496889233,0.0238717875,0,0,0,0,0.027635307,0.0553104826,0.0496889233,0.0238717875,0.0246080796,0.0597592596,0.0323408796,0.0188970749,0.0176350603,0.0325938462,0.0277936635,0.0233744994,583,inferred
C01O,C01O,-29.877,-71.238,seismic,Stations_CSN,0.1759496184,0.4485675589,0.2269584053,0.2010233023,0,0,0,0,0.1541577885,0.2727290896,0.2077242423,0.1318724585,0.1759496184,0.4485675589,0.2269584053,0.2010233023,0.1199339016,0.2177452579,0.1041436145,0.0509758033,447,inferred
C09O,C09O,-29.511,-71.2,seismic,Stations_CSN,0.1876414041,0.215595539,0.0993428159,0.0465269587,0,0,0,0,0.186578196,0.200650499,0.0993428159,0.0317852555,0.1876414041,0.215595539,0.069444538,0.0465269587,0.0939937917,0.1208535546,0.0703958819,0.0415761093,754,inferred
C10O,C10O,-30.234,-71.082,seismic,Stations_CSN,0.3120393559,0.3342701627,0.2067691093,0.096193076,0,0,0,0,0.3120393559,0.2437861162,0.1437465924,0.096193076,0.2949000729,0.3342701627,0.2067691093,0.0828613796,0.1868521522,0.1528258348,0.093836202,0.0790590443,,
C11O,C11O,-30.696,-70.959,seismic,Stations_CSN,0.8300810212,2.6583432503,0.9947963929,0.2915687147,0,0,0,0,0.8300810212,2.6583432503,0.9947963929,0.2915687147,0.7120332975,1.4639900213,0.343348312,0.1708753996,0.4753587736,0.4514107494,0.2162838658,0.1853504565,626,inferred
C14O,C14O,-30.123,-70.491,seismic,Stations_CSN,0.2979508712,0.581781452,0.7580870314,0.1294836332,0,0,0,0,0.2979508712,0.4521554602,0.7580870314,0.1168043214,0.1752450472,0.581781452,0.5521469311,0.1294836332,0.1645784196,0.2213277635,0.1835398782,0.0600650527,,
C18O,C18O,-30.278,-70.669,seismic,Stations_CSN,0.5058544474,0.8083225404,0.2032837577,0.1013330869,0,0,0,0,0.480462437,0.4827094002,0.1499295347,0.1013330869,0.5058544474,0.8083225404,0.2032837577,0.0686231499,0.2320932516,0.2417596046,0.1610542206,0.084456055,,
C19O,C19O,-30.093,-71.369,seismic,Stations_CSN,0.118423573,0.2087937235,0.1929983841,0.1156586945,0,0,0,0,0.118423573,0.2087937235,0.1749019734,0.1156586945,0.1086191718,0.1928927994,0.1929983841,0.1081719678,0.1018627325,0.1206013967,0.1334219759,0.1359048518,1106,inferred
C20O,C20O,-29.968,-71.337,seismic,Stations_CSN,0.2553626808,0.7399350344,0.6259697141,0.5419933902,0,0,0,0,0.2553626808,0.4926574477,0.3826955102,0.5419933902,0.253609466,0.7399350344,0.6259697141,0.3484143398,0.181187,0.3686873148,0.3062218452,0.1042551655,737,inferred
C22O,C22O,-29.966,-71.351,seismic,Stations_CSN,0.1274142948,0.2983252098,0.2585717,0.0839526008,0,0,0,0,0.0863494618,0.2414329656,0.1767920203,0.0839526008,0.1274142948,0.2983252098,0.2585717,0.067312553,0.0707426695,0.1190077191,0.1324639258,0.0674135082,1228,inferred
C23O,C23O,-31.784,-70.97,seismic,Stations_CSN,0.7262588081,1.0044337979,0.6194997119,0.1818707066,0,0,0,0,0.5517276015,1.0044337979,0.3869099414,0.1818707066,0.7262588081,0.9687896535,0.6194997119,0.1716334213,0.2501226653,0.3037784422,0.1510195705,0.0930038715,751,inferred
C26O,C26O,-30.259,-71.49,seismic,Stations_CSN,0.3642979462,0.6228409708,0.5826164189,0.5562145586,0,0,0,0,0.3642979462,0.4033220459,0.5826164189,0.5562145586,0.2342886105,0.6228409708,0.5712426323,0.2291554777,0.1337958485,0.3612301968,0.1163909852,0.0932198345,364,inferred
C27O,C27O,-29.384,-70.745,seismic,Stations_CSN,0.1264860358,0.0909054649,0.0658179279,0.0359720252,0,0,0,0,0.1264860358,0.0848487773,0.0477812025,0.0287326023,0.0942428688,0.0909054649,0.0658179279,0.0359720252,0.0515721521,0.0799307859,0.0448293659,0.0390545566,,
C28O,C28O,-29.291,-71.308,seismic,Stations_CSN,0.0970080644,0.3105844048,0.1001522962,0.0525836688,0,0,0,0,0.0970080644,0.3105844048,0.0902868034,0.0525836688,0.0743528255,0.2503371814,0.1001522962,0.0283988696,0.0548042521,0.0608912229,0.065225608,0.0328303326,,
C32O,C32O,-30.855,-70.707,seismic,Stations_CSN,0.5422392708,0.4627793401,0.2267482893,0.1558185388,0,0,0,0,0.4451750872,0.4343445518,0.2267482893,0.1298138382,0.5422392708,0.4627793401,0.1968702039,0.1558185388,0.332719604,0.2357908007,0.2077134205,0.1248013961,,
C33O,C33O,-29.911,-71.251,seismic,Stations_CSN,0.1394795998,0.3477713285,0.2316079965,0.1460600669,0,0,0,0,0.1394795998,0.3382178337,0.1974916446,0.0737057763,0.1100375427,0.3477713285,0.2316079965,0.1460600669,0.0695503391,0.1193267733,0.0886076377,0.0558709171,587,inferred
CO03,CO03,-30.839,-70.689,seismic,Stations_CSN,0.3474626676,0.5528324984,0.2416848611,0.1402944236,0,0,0,0,0.3474626676,0.5528324984,0.2416848611,0.1402944236,0.2881752288,0.4966126344,0.1893910453,0.1302543127,0.2005895821,0.2202429289,0.1444157215,0.1042459567,704,inferred
CO06,CO06,-30.674,-71.635,seismic,Stations_CSN,0.3611214105,0.8582448348,0.2727648347,0.1383999152,0,0,0,0,0.3420645333,0.659982306,0.2567966991,0.1088564866,0.3611214105,0.8582448348,0.2727648347,0.1383999152,0.196819678,0.2487012522,0.1066117501,0.0520830864,,
GO04,GO04,-30.173,-70.799,seismic,Stations_CSN,0.3435304427,0.6076120309,1.0795238527,0.7410768329,0,0,0,0,0.2376054089,0.5880069832,0.5652509226,0.5739770042,0.3435304427,0.6076120309,1.0795238527,0.7410768329,0.1584182468,0.5076575859,0.2759187619,0.1310386618,405,inferred
LMEL,LMEL,-33.848,-70.207,seismic,Stations_CSN,0.043942962,0.0970910992,0.0264093679,0.0240972379,0,0,0,0,0.0339399455,0.0649817039,0.0264093679,0.0240972379,0.043942962,0.0970910992,0.0253432967,0.0204483403,0.0174203521,0.0255676031,0.0223338684,0.0163351434,808,inferred
M02L,M02L,-35,-70.812,seismic,Stations_CSN,0.0169615618,0.0575987451,0.0273461946,0.0155968041,0,0,0,0,0.0169615618,0.0575987451,0.0273461946,0.0155968041,0.0130998857,0.0465257261,0.0191965592,0.0153825391,0.0093883813,0.0229178787,0.0169413331,0.0115489275,,
M03L,M03L,-34.976,-71.231,seismic,Stations_CSN,0.010530631,0.028647282,0.0190187713,0.0125900077,0,0,0,0,0.010530631,0.0220896726,0.0190187713,0.0125576552,0.0099120101,0.028647282,0.0153869556,0.0125900077,0.0066276847,0.0159538884,0.0077795724,0.0076368093,715,inferred
