ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
CO19,Cauca,CO19517,Páez,,,,,,,,841.0,,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19355,Inzá,,,,5.0,,,,,,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19698,Santander de Quilichao,,,,91.0,,,,136.0,,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19137,Caldono,,,,106.0,,,,1.0,,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19821,Toribío,,,,323.0,,,,20.0,,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19743,Silvia,,,,1750.0,,,,12.0,,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19824,Totoró,,,,326.0,,,,367.0,,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19364,Jambaló,,,,197.0,,,,136.0,,"Shaking, Avalanches",LARED,
CO41,Huila,CO41396,La Plata,,,,31.0,,,,,,"Shaking, Avalanches",LARED,
CO41,Huila,,Iquira,,,,31.0,,,,91.0,,"Shaking, Avalanches",LARED,
CO41,Huila,CO41797,Tesalia,,,,,,,,1.0,,"Shaking, Avalanches",LARED,
CO41,Huila,CO41518,Paicol,,,,76.0,,,,,,"Shaking, Avalanches",LARED,
CO41,Huila,,Nataga,,,,114.0,,,,19.0,,"Shaking, Avalanches",LARED,
