STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
CQUET,QUETAME,4.3285,-73.8612,seismic,SGS_Recording_Stations,ROCA,0.5714915229,0.9748688471,0.8696992439,0.3476664773,0.0,0.0,0.0,0.0,0.5714915229,0.9748688471,0.8696992439,0.3476664773,0.4660366239,0.6750798226,0.2199140354,0.0676573353,0.2884548828,0.3815972381,0.1817783598,0.0836245537,,,,,,,,
CBOG1,BOGOTA,4.641,-74.08,seismic,SGS_Recording_Stations,ROCA,0.1560326866,0.1721618097,0.1682149995,0.1621970082,0.0,0.0,0.0,0.0,0.1560326866,0.1721618097,0.1682149995,0.1621970082,0.1017826169,0.1053326633,0.1130523933,0.1096551074,0.076577812,0.0808787565,0.0812915179,0.0823389581,,,,,,,,
CBOG2,GAVIOTAS,4.601,-74.06,seismic,SGS_Recording_Stations,COLUVION,0.0945872856,0.1300160736,0.07908229,0.048381767,0.0,0.0,0.0,0.0,0.050881587,0.127502339,0.0434427046,0.0297714145,0.0945872856,0.1300160736,0.07908229,0.048381767,0.0274441411,0.0449169381,0.0362583956,0.021911749,,,,,,,,
CVIL1,VILLAVICENCIO,4.174,-73.639,seismic,SGS_Recording_Stations,ROCA,0.0823552701,0.1499449079,0.0835163876,0.0584582738,0.0,0.0,0.0,0.0,0.0823552701,0.1345011044,0.0835163876,0.0584582738,0.0608771825,0.1499449079,0.0641728594,0.0450380885,0.0498870826,0.0525630488,0.0768633317,0.0411877003,,,,,,,,
CREAC,BOGOTA,4.642,-74.095,seismic,SGS_Recording_Stations,EDIFICIO,0.0475733774,0.0823023647,0.1108045481,0.1323586643,0.0,0.0,0.0,0.0,0.0410779898,0.0574458129,0.0657319287,0.0789260542,0.0475733774,0.0823023647,0.1108045481,0.1323586643,0.0182797301,0.0287154491,0.0351811907,0.0599073017,,,,,,,,
CSJGU,SAN,2.545,-72.627,seismic,SGS_Recording_Stations,SUELO,0.0428054915,0.0944099049,0.0420203168,0.0315642132,0.0,0.0,0.0,0.0,0.0308597733,0.0536212815,0.0299827354,0.019344136,0.0428054915,0.0944099049,0.0420203168,0.0315642132,0.0179185778,0.0317605186,0.0145799097,0.0164904256,,,,,,,,
COCAN,OCANA,8.241,-73.323,seismic,SGS_Recording_Stations,ROCA,0.0313575115,0.0340715929,0.0362308648,0.0327384706,0.0,0.0,0.0,0.0,0.0099547653,0.012821669,0.011454454,0.0118262859,0.0313575115,0.0340715929,0.0362308648,0.0327384706,0.0024886915,0.003820338,0.0047384821,0.0029698102,,,,,,,,
CPENS,PENSILVANIA,5.393,-75.161,seismic,SGS_Recording_Stations,ROCA,0.0263801288,0.0560473612,0.0246052328,0.0230356051,0.0,0.0,0.0,0.0,0.0154298866,0.0516619563,0.0119165134,0.0106164621,0.0263801288,0.0560473612,0.0246052328,0.0230356051,0.0029864298,0.0037762992,0.0027103075,0.0053849749,,,,,,,,
CYOPA,YOPAL,5.37,-72.416,seismic,SGS_Recording_Stations,ROCA,0.0219004844,0.0249335328,0.0256337176,0.0233894635,0.0,0.0,0.0,0.0,0.0119457187,0.0149181044,0.0134451587,0.0141689524,0.0219004844,0.0249335328,0.0256337176,0.0233894635,0.0014932147,0.0036220903,0.003133608,0.00382597,,,,,,,,
CTUN2,"TUNJA, UPTC",5.55,-73.36,seismic,SGS_Recording_Stations,SUELO,0.0199576522,0.0637839037,0.0640046973,0.0141386488,0.0,0.0,0.0,0.0,0.0199576522,0.0637839037,0.0640046973,0.0141386488,0.0158984603,0.0522797513,0.0492061143,0.0124571642,0.0104068126,0.0249052469,0.0190978917,0.0075999272,,,,,,,,
CIBA1,IBAGUE,4.447,-75.235,seismic,SGS_Recording_Stations,SUELO,0.0199095307,0.0264285309,0.0252048314,0.0231708815,0.0,0.0,0.0,0.0,0.0089592889,0.0178048396,0.0117362411,0.0131634232,0.0199095307,0.0264285309,0.0252048314,0.0231708815,0.006968336,0.0095163818,0.0060546022,0.0112089399,,,,,,,,
