STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA
200901081921AALX.lis,200901081921AALX.lis,-84.213,10.013,seismic,0.169,0.0
200901081921HCPD.lis,200901081921HCPD.lis,-84.036,9.995,seismic,0.113,0.0
200901081921RALT.lis,200901081921RALT.lis,-83.941,9.894,seismic,0.0213,0.0
200901081921SFRA.lis,200901081921SFRA.lis,-84.058,9.753,seismic,0.0185,0.0
200901081921PQSP.lis,200901081921PQSP.lis,-84.16,9.43,seismic,0.0147,0.0
200901081921CCCH.lis,200901081921CCCH.lis,-83.806,9.843,seismic,0.00528,0.0
200901081921RMOI.lis,200901081921RMOI.lis,-83.095,9.989,seismic,0.00439,0.0
ASRM,ASRM,-84.485,10.087,seismic,0.0605,0.0
SSAB,SSAB,-84.113,9.943,seismic,0.175,0.0
SGTS,SGTS,-84.038,9.871,seismic,0.0281,0.0
ASCS,ASCS,-84.423,10.311,seismic,0.0276,0.0
SSAB,SSAB,-84.11,9.94,seismic,0.179,0.0
SPCL,SPCL,-84.311,9.847,seismic,0.044,0.0
SGTS,SGTS,-84.036,9.869,seismic,0.029,0.0
LGPL,LGPL,-83.7896,10.2156,seismic,0.028,0.0
ASCS,ASCS,-84.432,10.324,seismic,0.024,0.0
CPAR,CPAR,-83.871,9.832,seismic,0.022,0.0
UTM:(16P 081 110 10000),UTM:(16P 081 110 10000),-84.127,9.9839,macroseismic,0.15594,0.8059
UTM:(16P 080 110 10000),UTM:(16P 080 110 10000),-84.2182,9.9847,macroseismic,0.13953,0.8059
UTM:(16P 081 109 10000),UTM:(16P 081 109 10000),-84.1278,9.8936,macroseismic,0.12654,0.8059
UTM:(16P 081 111 10000),UTM:(16P 081 111 10000),-84.1262,10.0742,macroseismic,0.11674,0.8059
UTM:(16P 080 109 10000),UTM:(16P 080 109 10000),-84.219,9.8943,macroseismic,0.1058,0.8059
UTM:(16P 082 110 10000),UTM:(16P 082 110 10000),-84.0359,9.983,macroseismic,0.10226,0.8059
UTM:(16P 082 109 10000),UTM:(16P 082 109 10000),-84.0367,9.8927,macroseismic,0.08994,0.8059
UTM:(16P 070 121 10000),UTM:(16P 070 121 10000),-85.1239,10.9854,macroseismic,0.08942,0.8059
UTM:(16P 077 111 10000),UTM:(16P 077 111 10000),-84.4909,10.0771,macroseismic,0.0754,0.8059
UTM:(16P 078 110 10000),UTM:(16P 078 110 10000),-84.4005,9.9861,macroseismic,0.06862,0.8059
UTM:(16P 083 109 10000),UTM:(16P 083 109 10000),-83.9457,9.892,macroseismic,0.05938,0.8059
UTM:(16P 086 103 10000),UTM:(16P 086 103 10000),-83.6778,9.3476,macroseismic,0.05468,0.8059
UTM:(16P 079 115 10000),UTM:(16P 079 115 10000),-84.3056,10.4371,macroseismic,0.04623,0.8059
