STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
ACLS,ACLS,-84.7176,11.0311,seismic,235.83,5.1,0.63,0.0,0.06128,0.0,6.767,,,,,,,inferred,Stations_USGS
PSVT,PSVT,-82.967,8.82155,seismic,581.74,4.7,0.63,0.0,0.01798,0.0,5.029,,,,,,,inferred,Stations_USGS
ASCS,ASCS,-84.4315,10.3242,seismic,603.12,5.7,0.63,0.0,0.0784,0.0,10.628,,,,,,,inferred,Stations_USGS
SFRA,SFRA,-84.0561,9.75095,seismic,542.42,4.6,0.63,0.0,0.06123,0.0,4.75,,,,,,,inferred,Stations_USGS
AALA,AALA,-84.213,10.013,seismic,426.74,5.8,0.63,0.0,0.14036,0.0,11.062,,,,,,,inferred,Stations_USGS
LBTN,LBTN,-83.3457,10.0849,seismic,239.48,5.9,0.63,0.0,0.04212,0.0,12.418,,,,,,,inferred,Stations_USGS
PCNH,PCNH,-82.9376,8.63224,seismic,577.82,4.9,0.63,0.0,0.01598,0.0,6.044,,,,,,,inferred,Stations_USGS
PPTG,PPTG,-83.1735,9.01749,seismic,436.46,5.1,0.63,0.0,0.02643,0.0,6.603,,,,,,,inferred,Stations_USGS
PLRL,PLRL,-82.9573,8.43256,seismic,235.74,5.2,0.63,0.0,0.02127,0.0,7.163,,,,,,,inferred,Stations_USGS
LSQR,LSQR,-83.505,10.096,seismic,393.33,4.9,0.63,0.0,0.01855,0.0,5.86,,,,,,,inferred,Stations_USGS
RALT,RALT,-83.9417,9.89729,seismic,411.61,5.0,0.63,0.0,0.05511,0.0,6.27,,,,,,,inferred,Stations_USGS
AUPA,AUPA,-85.01,10.8981,seismic,262.3,6.1,0.63,0.0,0.08407,0.0,14.413,,,,,,,inferred,Stations_USGS
SCCH,SCCH,-84.2415,9.91507,seismic,740.25,5.6,0.63,0.0,0.11933,0.0,9.52,,,,,,,inferred,Stations_USGS
SISH,SISH,-83.7055,9.36981,seismic,331.66,4.8,0.63,0.0,0.02754,0.0,5.586,,,,,,,inferred,Stations_USGS
AORT,AORT,-84.5222,9.91211,seismic,361.39,5.8,0.63,0.0,0.11903,0.0,10.868,,,,,,,inferred,Stations_USGS
