STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
YMT004,,139.5889,38.6276,seismic,641.3,6.7,0.63,0.0,0.644203,0.0,19.4532,0.0,0.970977,0.0,0.149156,0.0,0.023187,inferred,Stations_USGS
YMT005,,140.1621,38.607,seismic,545.2,5.5,0.63,0.0,0.323224,0.0,7.9224,0.0,0.292464,0.0,0.038553,0.0,0.007164,inferred,Stations_USGS
NIG006,,139.4961,38.4501,seismic,775.5,6.3,0.63,0.0,0.255459,0.0,14.7145,0.0,0.590114,0.0,0.116453,0.0,0.013597,inferred,Stations_USGS
YMT014,,139.8697,37.9207,seismic,641.3,5.2,0.63,0.0,0.251684,0.0,6.5549,0.0,0.165333,0.0,0.022663,0.0,0.006958,inferred,Stations_USGS
YMT003,,139.8013,38.7292,seismic,165.0,7.0,0.63,0.0,0.221546,0.0,24.2972,0.0,0.581184,0.0,0.410458,0.0,0.035041,inferred,Stations_USGS
NIG012,,139.4772,37.6863,seismic,460.5,5.6,0.63,0.0,0.182434,0.0,8.8716,0.0,0.52761,0.0,0.055309,0.0,0.008093,inferred,Stations_USGS
AKT011,,140.5803,39.8128,seismic,447.0,4.8,0.63,0.0,0.175616,0.0,4.8191,0.0,0.293366,0.0,0.034931,0.0,0.002502,inferred,Stations_USGS
YMT016,,140.0185,38.7895,seismic,435.4,5.1,0.63,0.0,0.160995,0.0,5.877,0.0,0.222662,0.0,0.050376,0.0,0.013587,inferred,Stations_USGS
NIG003,,138.3226,37.9976,seismic,188.9,5.3,0.63,0.0,0.149227,0.0,7.1925,0.0,0.359204,0.0,0.117475,0.0,0.019655,inferred,Stations_USGS
MYG005,,140.6507,38.7992,seismic,401.4,5.3,0.63,0.0,0.144621,0.0,7.1456,0.0,0.187778,0.0,0.139731,0.0,0.028899,inferred,Stations_USGS
