# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:GEM, Rupture:Heraketal2021
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
s_0,15.998999999999995,45.808,0.17686915,0.18496998,0.1691231,0.10926576,0.2862992
s_1,15.992999999999995,45.777,0.13594833,0.14147606,0.13063657,0.0839858,0.2200604
s_10,13.5137,46.548,0.0011746456,0.00081492565,0.0016931513,0.0007256695,0.0019014061
s_11,13.243799999999993,46.234,0.0009138509,0.0006194137,0.0013482485,0.0005645564,0.0014792561
s_12,13.098399999999998,46.3195,0.0007941049,0.00052404316,0.0012033411,0.00049058005,0.0012854225
s_13,13.564999999999998,46.4428,0.0010957912,0.0007723478,0.0015546862,0.00067695504,0.001773764
s_14,15.997600000000006,45.8197,0.1612137,0.16883908,0.15393269,0.09959417,0.2609576
s_15,15.984399999999994,45.8018,0.1553267,0.1622632,0.14868672,0.09595732,0.25142828
s_16,16.010699999999986,45.8286,0.17686562,0.1853982,0.16872574,0.10926358,0.28629348
s_17,16.010999999999996,45.8466,0.18749827,0.1967736,0.17866015,0.11583219,0.30350462
s_18,15.9846,45.8108,0.15217559,0.15916686,0.1454914,0.09401063,0.24632756
s_19,15.9589,45.811,0.14221784,0.14859769,0.13611192,0.08785897,0.2302089
s_2,16.250400000000013,46.4481,0.011148195,0.010413571,0.011934643,0.0068871025,0.018045653
s_20,15.997500000000002,45.8107,0.15885752,0.16619073,0.15184791,0.098138586,0.25714365
s_21,15.98490000000001,45.8288,0.17474447,0.1831336,0.16673963,0.107953176,0.28285995
s_22,16.010500000000008,45.8196,0.16983497,0.17786694,0.16216572,0.1049202,0.27491292
