# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:USGS, Rupture:Heraketal2021
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
m_14,15.997600000000006,45.8197,0.20838812,0.16476311,0.21398775
m_15,15.984399999999994,45.8018,0.17029075,0.16862538,0.16135566
m_16,16.010699999999986,45.8286,0.22492109,0.17131121,0.22347036
m_17,16.010999999999996,45.8466,0.24553557,0.1764629,0.24439499
m_18,15.9846,45.8108,0.18958184,0.16398348,0.2024165
m_19,15.9589,45.811,0.17577723,0.16006717,0.19846673
m_20,15.997500000000002,45.8107,0.18927328,0.1754051,0.17095913
m_21,15.98490000000001,45.8288,0.22082962,0.17394446,0.22594446
m_22,16.010500000000008,45.8196,0.20918769,0.17298608,0.21206684
m_23,15.971699999999998,45.8109,0.18376482,0.16252409,0.20113416
m_24,15.972499999999997,45.8559,0.2289892,0.17613475,0.25398874
m_25,16.062299999999993,45.8371,0.21269752,0.1840421,0.1826045
m_26,16.07499999999999,45.828,0.19020143,0.17458548,0.1695236
m_27,15.983800000000002,45.7658,0.11668527,0.14435427,0.12729181
m_28,16.11359999999999,45.8276,0.17126006,0.14839226,0.18563055
m_29,15.932799999999986,45.7933,0.13103758,0.16009836,0.14378996
m_30,16.023200000000003,45.8105,0.18335722,0.1761792,0.1670005
m_31,15.89439999999999,45.8026,0.1164198,0.15389961,0.13750896
m_32,15.932700000000011,45.7843,0.123883106,0.14899264,0.1359189
m_33,15.958200000000005,45.775,0.11927673,0.15325227,0.14404655
m_34,15.894499999999994,45.8116,0.12559226,0.15124169,0.14394738
m_35,15.997199999999992,45.7927,0.15117665,0.16986448,0.15180612
m_36,15.984100000000012,45.7838,0.13514262,0.16395117,0.15516669
m_37,15.946200000000005,45.8201,0.17317265,0.15316436,0.2051521
m_38,15.8947,45.8206,0.12545146,0.13417557,0.17774759
m_39,15.84299999999999,45.8119,0.092228524,0.11826903,0.14135922
m_40,15.945999999999998,45.8111,0.16638605,0.15790007,0.19450973
m_41,15.996800000000007,45.7747,0.13152651,0.14547473,0.13492598
m_42,15.868899999999996,45.8208,0.1052773,0.122449346,0.16173795
m_43,15.959000000000003,45.82,0.18411867,0.15554687,0.20965132
m_44,15.894200000000012,45.7936,0.111214586,0.14581509,0.13103722
m_45,15.984000000000009,45.7748,0.12460605,0.1551223,0.14634682
m_46,16.06219999999999,45.8281,0.1984791,0.17467014,0.17345582
m_47,15.907399999999996,45.8115,0.13435765,0.14218085,0.17717552
m_48,15.945799999999991,45.8021,0.14631595,0.17370018,0.15556392
m_49,15.996700000000004,45.7657,0.11946614,0.1411191,0.12750441
m_50,16.00999999999999,45.7926,0.15403573,0.16497305,0.15080383
m_51,15.919999999999987,45.7933,0.12529838,0.15418513,0.13990444
m_52,15.907100000000014,45.7935,0.11867985,0.14928357,0.13568515
m_53,15.984800000000007,45.8198,0.20459267,0.1648006,0.21421823
m_54,15.95859999999999,45.793,0.14590414,0.16106929,0.14944401
m_55,15.907199999999989,45.8025,0.1259117,0.1556749,0.142709
m_56,15.945699999999988,45.7931,0.13832906,0.16162845,0.14693187
m_57,15.92009999999999,45.8024,0.13097622,0.16594914,0.14759487
m_58,16.343999999999994,46.3022,0.01686384,0.028295625,0.029311232
m_59,15.658899999999988,46.5602,0.0072335266,0.012184393,0.018944038
m_60,16.0856,45.7109,0.06993243,0.095387004,0.08744638
m_61,16.22909999999999,45.8084,0.078810506,0.093226135,0.119293325
m_62,15.80510000000001,45.8572,0.08640058,0.12337961,0.11388174
m_63,15.66579999999999,46.0561,0.02271646,0.03879332,0.043479413
m_64,15.714200000000005,45.8038,0.0411928,0.06325562,0.08424772
m_65,15.842199999999991,45.7579,0.073269375,0.099409916,0.094057046
m_66,16.83699999999999,45.8993,0.012076088,0.02006609,0.02329281
m_67,16.543900000000008,46.0206,0.022626763,0.03759473,0.03781559
m_68,16.437000000000012,46.382,0.013034413,0.02177875,0.02276219
m_69,15.878500000000003,46.4237,0.010786543,0.018540962,0.027776262
m_70,16.7723,45.4863,0.008761266,0.014747353,0.0223956
m_71,15.1858,45.5629,0.009684398,0.015949188,0.018456362
m_72,15.265899999999988,46.2378,0.009884778,0.016521815,0.019656945
m_73,16.83269999999999,46.1604,0.011126567,0.018455762,0.020296818
m_74,15.123500000000007,46.355,0.006040819,0.010298474,0.01717459
s_0,15.998999999999995,45.808,0.18474491,0.17245497,0.16792142
s_1,15.992999999999995,45.777,0.12972721,0.15511711,0.13693905
s_10,13.5137,46.548,0.0013379399,0.0020663154,0.003660699
s_11,13.243799999999993,46.234,0.0009947347,0.0016066405,0.0024381701
s_12,13.098399999999998,46.3195,0.0009151859,0.0014575748,0.0021355727
s_13,13.564999999999998,46.4428,0.0011946631,0.001944704,0.0029751875
