STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA
QKAS,QKAS,16.103,45.914,seismic,0.24756,0.0
QGAJ,QGAJ,15.968,45.811,seismic,0.1301,0.0
QUHS,QUHS,15.999,45.808,seismic,0.12706,0.0
QCRE,QCRE,16.0198,45.8432,seismic,0.11138,0.0
QZAG,QZAG,15.987,45.827,seismic,0.10794,0.0
QARH,QARH,15.993,45.777,seismic,0.0952,0.0
QCER,QCER,16.3296,45.02685,seismic,0.04527,0.0
QPTJ,QPTJ,15.968,45.907,seismic,0.03969,0.0
CRES,Cresnjevec  SL,15.4569,45.826,seismic,0.02469,0.0
KOGS,Kog  SL,16.2504,46.4481,seismic,0.02254,0.0
SABO,Monte Sabotino  Italy,13.6336,45.9875,seismic,0.01856,0.0
LJU,Ljubljana  SL,14.5278,46.0438,seismic,0.01362,0.0
VISS,Visnje  SL,14.8393,45.8033,seismic,0.0126,0.0
BLY,Banja Luka  Bosnia and Herzegovina,17.1839,44.7488,seismic,0.01181,0.0
VNDS,Vrh nad Dolskim  SL,14.7014,46.1016,seismic,0.01082,0.0
CRNS,Crni vrh  SL,14.2613,46.0807,seismic,0.01061,0.0
BOJS,Bojanci  SL,15.2518,45.5043,seismic,0.00962,0.0
DST2,Trieste Universita DST  Italy,13.8013,45.6589,seismic,0.00852,0.0
CEY,Cerknica  SL,14.4221,45.7381,seismic,0.00745,0.0
FREG,Fregona,12.31299,46.01109,seismic,0.00734,0.0
MOZS,Mozjanca  SL,14.4433,46.2941,seismic,0.00722,0.0
PERS,Pernice  SL,15.1139,46.6365,seismic,0.00679,0.0
CADS,Cadrg  SL,13.7368,46.2281,seismic,0.00485,0.0
DRE,Drenchia  Italy,13.645,46.1733,seismic,0.00482,0.0
ACOM,Acomizza  Italy,13.5137,46.548,seismic,0.00451,0.0
SENI,Senigallia,13.2331,43.7052,seismic,0.00369,0.0
GORS,Gorjuse  SL,13.9999,46.3174,seismic,0.00367,0.0
VOJS,Vojsko  SL,13.8877,46.0322,seismic,0.00348,0.0
FRE8,Fregona,12.3552,46.015,seismic,0.00346,0.0
CIMA,Civitanova Marche,13.67009,43.3053,seismic,0.00343,0.0
STAL,Staligial,12.7104,46.2601,seismic,0.00288,0.0
SKDS,Skadanscina  SL,14.0143,45.5464,seismic,0.00273,0.0
COR1,Corinaldo,13.00033,43.63183,seismic,0.00272,0.0
FANO,Fano,13.01835,43.84347,seismic,0.00259,0.0
MPRI,Monte Prat  Italy,12.9877,46.2408,seismic,0.00248,0.0
GUMA,Gualdo di Macerata,13.3352,43.0627,seismic,0.00234,0.0
FCOR,Fonte Corniale  PU,12.81459,43.76911,seismic,0.00205,0.0
MCIF,Montecalvo in Foglia,12.63168,43.81158,seismic,0.00186,0.0
BOO,Bordano  Italy,13.0984,46.3195,seismic,0.00186,0.0
MTL1,Matelica,13.0096,43.25673,seismic,0.00175,0.0
MNTP,Montappone,13.46925,43.13738,seismic,0.00175,0.0
MLN,Malnisio  Italy,12.6154,46.1495,seismic,0.00161,0.0
TREM,ISOLE TREMITI   SAN NICOLA,15.51,42.123,seismic,0.00141,0.0
CLUD,Cludinico  Italy,12.8814,46.4569,seismic,0.00134,0.0
FUSE,Fusea  Italy,13.0011,46.4142,seismic,0.00122,0.0
PRED,Cave del Predil  Italy,13.565,46.4428,seismic,0.00121,0.0
BANR,Banloc,21.137,45.3828,seismic,0.00112,0.0
CIMO,Cimolais  Italy,12.4448,46.3116,seismic,0.00101,0.0
MPAG,Monte Paganuccio,12.7595,43.6292,seismic,0.00082,0.0
SSFR,Montelago di Sassoferrato,12.78225,43.43628,seismic,0.00076,0.0
MSAG,Monte S. Angelo,15.9096,41.712,seismic,0.00071,0.0
TERO,TERAMO,13.60393,42.62279,seismic,0.00055,0.0
BZS,Buzias,21.6401,45.6188,seismic,0.00034,0.0
MDVR,Moldovita,21.7128,44.7815,seismic,0.00029,0.0
SIRR,Siria,21.663,46.2653,seismic,0.00028,0.0
UTM:(33T 060 503 10000),,16.343,45.4606,macroseismic,1.13878,0.8059
UTM:(33T 056 508 10000),,15.8382,45.9155,macroseismic,0.24366,0.8059
UTM:(33T 058 506 10000),,16.0925,45.7333,macroseismic,0.23838,0.8059
UTM:(33T 058 507 10000),,16.0943,45.8233,macroseismic,0.1837,0.8059
UTM:(33T 058 505 10000),,16.0907,45.6433,macroseismic,0.18112,0.8059
UTM:(33T 056 507 10000),,15.8368,45.8255,macroseismic,0.17531,0.8059
UTM:(33T 059 506 10000),,16.221,45.732,macroseismic,0.16523,0.8059
UTM:(33T 057 506 10000),,15.964,45.7345,macroseismic,0.15919,0.8059
UTM:(33T 060 506 10000),,16.3495,45.7306,macroseismic,0.15218,0.8059
UTM:(33T 055 508 10000),,15.7092,45.9163,macroseismic,0.14453,0.8059
UTM:(33T 055 507 10000),,15.7081,45.8263,macroseismic,0.14079,0.8059
UTM:(33T 057 507 10000),,15.9655,45.8245,macroseismic,0.14058,0.8059
UTM:(33T 054 511 10000),,15.5831,46.1871,macroseismic,0.13796,0.8059
UTM:(33T 057 497 10000),,15.9503,44.9245,macroseismic,0.13056,0.8059
UTM:(33T 056 506 10000),,15.8355,45.7355,macroseismic,0.12665,0.8059
UTM:(33T 060 511 10000),,16.3605,46.1805,macroseismic,0.12647,0.8059
UTM:(33T 065 502 10000),,16.9791,45.3613,macroseismic,0.1246,0.8059
UTM:(33T 050 511 10000),,15.0648,46.1885,macroseismic,0.10069,0.8059
UTM:(33T 057 509 10000),,15.9687,46.0044,macroseismic,0.09343,0.8059
UTM:(33T 064 508 10000),,16.8694,45.9033,macroseismic,0.08994,0.8059
UTM:(33T 067 495 10000),,17.2099,44.727,macroseismic,0.08664,0.8059
UTM:(33T 058 511 10000),,16.1014,46.1832,macroseismic,0.08198,0.8059
UTM:(33T 056 511 10000),,15.8423,46.1855,macroseismic,0.08085,0.8059
UTM:(33T 059 510 10000),,16.2289,46.0919,macroseismic,0.07997,0.8059
UTM:(33T 056 496 10000),,15.8224,44.8354,macroseismic,0.07495,0.8059
UTM:(33T 054 503 10000),,15.5756,45.4671,macroseismic,0.07412,0.8059
UTM:(33T 068 494 10000),,17.3325,44.6345,macroseismic,0.06522,0.8059
UTM:(33T 053 508 10000),,15.4513,45.9177,macroseismic,0.061,0.8059
UTM:(33T 055 515 10000),,15.7174,46.5463,macroseismic,0.05656,0.8059
UTM:(33T 062 513 10000),,16.6248,46.357,macroseismic,0.05581,0.8059
UTM:(33T 051 507 10000),,15.1931,45.8284,macroseismic,0.05527,0.8059
UTM:(34T 030 493 10000),,18.5453,44.5419,macroseismic,0.05289,0.8059
UTM:(33T 054 513 10000),,15.585,46.3671,macroseismic,0.05172,0.8059
UTM:(33T 060 512 10000),,16.3627,46.2704,macroseismic,0.05128,0.8059
UTM:(34T 026 500 10000),,18.01,45.1593,macroseismic,0.04873,0.8059
UTM:(33T 064 511 10000),,16.8785,46.1731,macroseismic,0.04753,0.8059
UTM:(33T 059 507 10000),,16.223,45.822,macroseismic,0.04691,0.8059
UTM:(33T 056 513 10000),,15.845,46.3654,macroseismic,0.04648,0.8059
UTM:(33T 050 513 10000),,15.065,46.3685,macroseismic,0.04624,0.8059
UTM:(33T 071 497 10000),,17.723,44.8959,macroseismic,0.04411,0.8059
UTM:(33T 060 514 10000),,16.3672,46.4504,macroseismic,0.0429,0.8059
UTM:(33T 039 503 10000),,13.657,45.4606,macroseismic,0.04153,0.8059
SSM1,San Severino Marche,13.177,43.2288,seismic,0.04083,0.0
UTM:(33T 053 515 10000),,15.4565,46.5476,macroseismic,0.0408,0.8059
UTM:(33T 052 512 10000),,15.3245,46.2781,macroseismic,0.04015,0.8059
UTM:(33T 051 512 10000),,15.1947,46.2784,macroseismic,0.03956,0.8059
UTM:(33T 054 515 10000),,15.587,46.547,macroseismic,0.03866,0.8059
UTM:(33T 060 513 10000),,16.3649,46.3604,macroseismic,0.02973,0.8059
UTM:(33T 061 513 10000),,16.4949,46.3588,macroseismic,0.0294,0.8059
UTM:(33T 046 509 10000),,14.5479,46.0077,macroseismic,0.02778,0.8059
UTM:(33T 045 510 10000),,14.4178,46.0971,macroseismic,0.02618,0.8059
UTM:(33T 050 512 10000),,15.0649,46.2785,macroseismic,0.0258,0.8059
UTM:(33T 064 518 10000),,16.9003,46.8027,macroseismic,0.02562,0.8059
UTM:(33T 071 514 10000),,17.7981,46.4243,macroseismic,0.02517,0.8059
UTM:(34T 028 510 10000),,18.2201,46.0647,macroseismic,0.02134,0.8059
UTM:(33T 046 510 10000),,14.5472,46.0977,macroseismic,0.02021,0.8059
UTM:(34T 036 525 10000),,19.2097,47.4344,macroseismic,0.01964,0.8059
UTM:(34T 028 498 10000),,18.2728,44.9859,macroseismic,0.01877,0.8059
UTM:(34T 032 513 10000),,18.7257,46.3459,macroseismic,0.01804,0.8059
UTM:(33T 037 507 10000),,13.391,45.8172,macroseismic,0.01537,0.8059
SBPO,S.Benedetto Po,10.9199,45.0511,seismic,0.00584,0.0
ASOL,Asolo,11.9023,45.8003,seismic,0.00479,0.0
FERS,FERS,11.5406,44.9035,seismic,0.0035,0.0
CDCA,Citta di Castello,12.2336,43.4584,seismic,0.00314,0.0
PCRO,Pietralacroce (Ancona),13.5323,43.6077,seismic,0.0028,0.0
VENL,Venezia Lido,12.3765,45.4167,seismic,0.00278,0.0
COR1,COR1,13.0003,43.6318,seismic,0.00277,0.0
TEOL,Teolo,11.6739,45.3617,seismic,0.00264,0.0
IMOL,Imola,11.7425,44.3595,seismic,0.00241,0.0
SOKA,SOKA,15.0327,46.678,seismic,0.00236,0.0
OPPE,Oppeano,11.1724,45.3082,seismic,0.00236,0.0
SANR,Sandrigo,11.6099,45.64,seismic,0.00223,0.0
TRI,TRI,13.764,45.709,seismic,0.0022,0.0
CADA,Capodarco,13.7614,43.1942,seismic,0.0022,0.0
PP3,PP3,13.6095,43.3778,seismic,0.0021,0.0
CTI,CASTELLO TESINO,11.6497,46.0482,seismic,0.00186,0.0
MNTV,Mantova,10.7897,45.1495,seismic,0.00183,0.0
MORH,MORH,18.6436,46.215,seismic,0.00183,0.0
TREG,Tregnago,11.1606,45.523,seismic,0.0018,0.0
MNTP,MNTP,13.4692,43.1373,seismic,0.00178,0.0
BRSN,BARISANO,12.0802,44.2842,seismic,0.00172,0.0
TRE1,Treia,13.3128,43.3112,seismic,0.00171,0.0
CPGN,Carpegna,12.3205,43.8011,seismic,0.00169,0.0
MODE,Modena,10.9492,44.6297,seismic,0.00168,0.0
CRND,Cornuda,12.0131,45.8361,seismic,0.00168,0.0
MML1,Monte Lago,12.9717,43.1135,seismic,0.00163,0.0
MPLH,MPLH,17.5348,47.1712,seismic,0.00144,0.0
FAEN,Faenza,11.877,44.2895,seismic,0.00143,0.0
SAIV,Sant Angelo in Vado (PU),12.413,43.6648,seismic,0.00143,0.0
MURB,MONTE URBINO,12.5246,43.263,seismic,0.0014,0.0
GAG1,Gagliole,13.0674,43.2381,seismic,0.00134,0.0
NDIM,Novi di Modena,10.8987,44.8873,seismic,0.00127,0.0
ATCC,AVT - Casa Castalda,12.6399,43.1851,seismic,0.00118,0.0
ATFO,Monte Foce - Gubbio,12.5715,43.3666,seismic,0.00107,0.0
MELA,Melanico - S. Croce di Magliano,15.127,41.7059,seismic,0.00106,0.0
FEMA,Monte Fema,13.0498,42.9621,seismic,0.00106,0.0
ATPI,Pietralunga - Aviosuperficie,12.4022,43.4507,seismic,0.00099,0.0
MMUR,Monte Murano,12.9973,43.4418,seismic,0.00099,0.0
ATPC,Poggio Castellaccio,12.457,43.4807,seismic,0.00098,0.0
ARSA,ARSA,15.5232,47.2505,seismic,0.00097,0.0
DJES,"Station Derdap-Kladovo, Serbia",22.5197,44.6672,seismic,0.00097,0.0
TRIV,Trivento,14.5502,41.7666,seismic,0.00095,0.0
APRC,Apricena (FG),15.5431,41.7574,seismic,0.00087,0.0
MTRZ,Monterenzio,11.4248,44.3128,seismic,0.00087,0.0
PIO1,Pioraco,12.9838,43.1782,seismic,0.00082,0.0
MDAR,Monte Daria,13.1427,43.1927,seismic,0.00081,0.0
SEF1,Sefro,12.9476,43.1468,seismic,0.00081,0.0
FOSV,Fossato di Vico,12.7612,43.2948,seismic,0.00081,0.0
