# 19961009_M6.8_Cyprus median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_0,33.317020000000014,34.71817,0.024705928,0.02277742,0.026797717,0.015262763,0.039991636
t_1,33.24185,34.72805,0.026264805,0.024425546,0.028242564,0.016225802,0.042515002
t_10,32.94918000000001,34.60713,0.046567846,0.044862427,0.0483381,0.028768562,0.07537966
t_100,33.615260000000006,35.06037,0.014960427,0.013167085,0.01699802,0.009242213,0.024216535
t_101,33.36505,34.96629,0.01972887,0.017937552,0.021699075,0.012188049,0.03193524
t_102,33.48406,34.98239,0.017280573,0.0154930055,0.019274388,0.010675547,0.02797217
t_103,33.408739999999995,34.99233,0.019739961,0.017837198,0.021845702,0.012194902,0.031953197
t_104,33.33339999999998,35.00224,0.02105354,0.019170828,0.023121145,0.013006399,0.034079492
t_105,33.452439999999996,35.01836,0.01740845,0.015633319,0.019385142,0.010754545,0.028179163
t_106,33.37709000000001,35.02828,0.020561267,0.018606158,0.022721818,0.012702285,0.03328265
t_107,33.49616,35.04437,0.017395316,0.015524815,0.01949118,0.010746432,0.028157903
t_108,33.420799999999986,35.05431,0.019055305,0.017135905,0.021189697,0.011771936,0.030844938
t_109,33.34542999999999,35.06422,0.020268574,0.018362613,0.022372369,0.012521466,0.032808866
t_11,32.91749999999999,34.64305,0.04855618,0.046953287,0.050213795,0.02999691,0.07859819
t_110,33.464529999999996,35.08033,0.018152693,0.016222233,0.020312877,0.011214322,0.029383875
t_111,33.53989999999999,35.07037,0.01642689,0.014569529,0.01852103,0.01014816,0.026590304
t_112,33.659040000000005,35.08634,0.01403691,0.012277897,0.016047928,0.008671685,0.022721631
t_113,33.58366000000001,35.09635,0.01541604,0.013587925,0.01749011,0.00952368,0.024954038
t_114,33.50828000000001,35.10633,0.016733121,0.014860044,0.018842293,0.0103373425,0.027086005
t_115,33.702830000000006,35.11229,0.0136349425,0.011852417,0.015685549,0.008423359,0.022070965
t_116,33.62744000000001,35.12232,0.014643509,0.012826555,0.016717844,0.009046428,0.023703538
t_117,33.552040000000005,35.13232,0.01543695,0.013623043,0.01749238,0.009536599,0.024987886
t_118,33.67124000000001,35.14828,0.0138969645,0.012096631,0.015965238,0.0085852295,0.0224951
t_119,33.59583000000001,35.1583,0.015092809,0.013235723,0.017210461,0.009323996,0.024430823
t_12,32.96097,34.66924,0.044110537,0.0424302,0.04585742,0.027250491,0.071402
t_120,33.52041,35.16828,0.015636425,0.013812663,0.017700989,0.009659829,0.025310777
t_121,33.38914,35.09026,0.019136097,0.017227706,0.021255888,0.011821847,0.030975716
t_122,33.31375,35.10015,0.020752216,0.018817227,0.02288618,0.0128202485,0.033591736
t_123,33.43288000000001,35.11628,0.017687019,0.015822943,0.0197707,0.010926641,0.028630087
t_124,33.357470000000006,35.12619,0.019476132,0.017548503,0.021615501,0.012031914,0.031526133
t_125,33.47663,35.14228,0.016632065,0.014785445,0.018709317,0.010274913,0.026922425
t_126,33.40120999999999,35.15222,0.017792104,0.01592972,0.019872224,0.010991558,0.028800188
t_127,33.325770000000006,35.16211,0.019921932,0.0179602,0.02209794,0.012307319,0.032247756
t_128,33.44497000000001,35.17823,0.017159052,0.015265657,0.019287288,0.010600475,0.027775465
t_129,33.369519999999994,35.18814,0.018443845,0.016522065,0.02058916,0.01139419,0.029855166
t_13,32.88580000000002,34.67896,0.04696484,0.0455673,0.04840524,0.029013814,0.076022275
t_130,33.48875000000001,35.20423,0.016243119,0.014359218,0.018374182,0.010034631,0.026292834
t_131,33.82898,34.96823,0.011988668,0.010343055,0.013896104,0.007406328,0.01940613
t_132,33.75370000000001,34.97832,0.012235531,0.010643156,0.0140661495,0.0075588343,0.01980573
t_133,33.948049999999995,34.98402,0.010792419,0.009179352,0.012688949,0.0066673122,0.017469756
t_134,33.87277,34.99416,0.011947483,0.010245987,0.013931536,0.007380884,0.019339463
t_135,33.797470000000004,35.00426,0.014077791,0.012172035,0.016281929,0.008696941,0.022787808
t_136,33.991870000000006,35.00991,0.010214237,0.008635854,0.0120811025,0.0063101244,0.016533848
t_137,33.91657000000001,35.02007,0.011290576,0.00962459,0.013244939,0.006975062,0.018276125
t_138,33.841260000000005,35.03019,0.013081756,0.011242557,0.015221835,0.008081613,0.02117552
t_139,33.76594,35.04029,0.013504185,0.011699347,0.015587452,0.00834258,0.021859307
t_14,32.92927,34.70515,0.042693734,0.04119614,0.044245772,0.026375223,0.06910861
t_140,33.96039999999999,35.04596,0.010970714,0.009295635,0.012947642,0.0067774584,0.017758362
t_141,33.885080000000016,35.05611,0.011514674,0.009835825,0.01348008,0.0071135047,0.018638873
t_142,33.809740000000005,35.06622,0.012367591,0.010649304,0.014363129,0.007640418,0.020019496
t_143,33.734399999999994,35.07629,0.0135485465,0.011758763,0.015610749,0.008369985,0.021931116
t_144,33.92891,35.08201,0.010691341,0.00907702,0.012592764,0.0066048685,0.01730614
t_145,33.853560000000016,35.09213,0.011713577,0.01002445,0.013687325,0.007236383,0.01896084
t_146,33.7782,35.10223,0.012466236,0.010752816,0.014452682,0.007701358,0.020179173
