# 19961009_M6.8_Cyprus median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
s_0,33.079999999999984,34.73,0.04,0.04,0.04,0.04,0.04
t_0,33.317020000000014,34.71817,0.037184026,0.03782485,0.036554057,0.029393481,0.0470394
t_1,33.24185,34.72805,0.038415525,0.03912339,0.037720468,0.031590927,0.046714444
t_10,32.94918000000001,34.60713,0.06919298,0.07330151,0.06531474,0.055675503,0.08599238
t_100,33.615260000000006,35.06037,0.023452025,0.023018675,0.023893533,0.017524667,0.031384185
t_101,33.36505,34.96629,0.030569946,0.030902045,0.030241417,0.023213033,0.040258486
t_102,33.48406,34.98239,0.026963485,0.026926415,0.027000606,0.020278407,0.0358524
t_103,33.408739999999995,34.99233,0.03071626,0.030892994,0.030540537,0.023188794,0.040687267
t_104,33.33339999999998,35.00224,0.0326586,0.03307278,0.0322496,0.024761202,0.04307481
t_105,33.452439999999996,35.01836,0.027168306,0.027176952,0.02715966,0.02042695,0.03613446
t_106,33.37709000000001,35.02828,0.032016277,0.032252796,0.03178149,0.024147252,0.04244963
t_107,33.49616,35.04437,0.027203804,0.027058616,0.02734977,0.020395502,0.036284808
t_108,33.420799999999986,35.05431,0.029751346,0.029805351,0.029697435,0.022355663,0.03959366
t_109,33.34542999999999,35.06422,0.031590912,0.03186932,0.031314936,0.023794776,0.041941375
t_11,32.91749999999999,34.64305,0.07201641,0.076542094,0.06775832,0.058092944,0.089277
t_110,33.464529999999996,35.08033,0.028396063,0.028284008,0.02850856,0.021281268,0.037889488
t_111,33.53989999999999,35.07037,0.025726315,0.025439788,0.026016068,0.019249484,0.03438239
t_112,33.659040000000005,35.08634,0.022020126,0.021483667,0.02256998,0.016438354,0.029497232
t_113,33.58366000000001,35.09635,0.024167467,0.0237559,0.024586163,0.018058026,0.032343872
t_114,33.50828000000001,35.10633,0.026210533,0.025952836,0.026470788,0.019607015,0.035038076
t_115,33.702830000000006,35.11229,0.02140024,0.020752251,0.02206846,0.015964575,0.028686652
t_116,33.62744000000001,35.12232,0.022972465,0.022444623,0.023512721,0.017148517,0.03077433
t_117,33.552040000000005,35.13232,0.024203,0.023820717,0.024591418,0.018081736,0.032396518
t_118,33.67124000000001,35.14828,0.02181195,0.021180414,0.022462314,0.016271234,0.0292394
t_119,33.59583000000001,35.1583,0.023679066,0.023162764,0.024206879,0.017674182,0.03172414
t_12,32.96097,34.66924,0.06379295,0.06700072,0.06073876,0.053284436,0.076373905
t_120,33.52041,35.16828,0.02451981,0.02415733,0.02488773,0.018314227,0.032828093
t_121,33.38914,35.09026,0.029895863,0.02998829,0.02980372,0.022445183,0.039819796
t_122,33.31375,35.10015,0.032380663,0.03270414,0.032060385,0.024352238,0.043055892
t_123,33.43288000000001,35.11628,0.027678546,0.027601589,0.027755717,0.020732215,0.036952246
t_124,33.357470000000006,35.12619,0.03044909,0.030574584,0.030324113,0.022837723,0.04059718
t_125,33.47663,35.14228,0.026058884,0.025830863,0.02628892,0.019486707,0.034847625
t_126,33.40120999999999,35.15222,0.027856125,0.027804393,0.02790795,0.02085164,0.037213553
t_127,33.325770000000006,35.16211,0.031169714,0.03132188,0.031018289,0.023353705,0.041601583
t_128,33.44497000000001,35.17823,0.026892858,0.026680201,0.027107209,0.020101778,0.0359782
t_129,33.369519999999994,35.18814,0.028891081,0.028856654,0.028925551,0.0216113,0.038623065
t_13,32.88580000000002,34.67896,0.069917865,0.07463509,0.06549879,0.056108754,0.08712559
t_130,33.48875000000001,35.20423,0.025476333,0.025119627,0.025838101,0.019023353,0.03411825
t_131,33.82898,34.96823,0.018819831,0.018113714,0.019553477,0.014036043,0.025234042
t_132,33.75370000000001,34.97832,0.019197289,0.018626945,0.019785097,0.014327929,0.025721505
t_133,33.948049999999995,34.98402,0.016950887,0.016086422,0.017861806,0.012632965,0.022744665
t_134,33.87277,34.99416,0.018760517,0.017950166,0.01960745,0.013986305,0.0251644
t_135,33.797470000000004,35.00426,0.022097569,0.021314636,0.022909261,0.01648244,0.029625619
t_136,33.991870000000006,35.00991,0.016044823,0.015136405,0.017007763,0.0119555965,0.021532709
t_137,33.91657000000001,35.02007,0.01773257,0.016865801,0.018643884,0.013216286,0.023792164
t_138,33.841260000000005,35.03019,0.020540524,0.019694766,0.021422602,0.0153144505,0.02755
t_139,33.76594,35.04029,0.021195916,0.020485347,0.021931132,0.01581122,0.028414436
t_14,32.92927,34.70515,0.06219392,0.06565099,0.05891889,0.051430337,0.075210154
t_140,33.96039999999999,35.04596,0.017232645,0.016292261,0.018227307,0.012841175,0.023125924
t_141,33.885080000000016,35.05611,0.018083902,0.017235206,0.018974388,0.013478785,0.024262387
t_142,33.809740000000005,35.06622,0.019418402,0.018654574,0.020213505,0.014478615,0.026043538
t_143,33.734399999999994,35.07629,0.021264795,0.020588467,0.02196334,0.015863374,0.028505381
t_144,33.92891,35.08201,0.016793422,0.015908638,0.017727418,0.01251428,0.02253578
t_145,33.853560000000016,35.09213,0.018395806,0.017565155,0.019265736,0.013711751,0.024679972
t_146,33.7782,35.10223,0.019572834,0.01883535,0.020339191,0.014594224,0.026249824
t_147,33.897400000000005,35.11804,0.017627912,0.016729381,0.018574703,0.013136442,0.023655059
t_148,33.822029999999984,35.12815,0.01976392,0.018903036,0.020664014,0.014731815,0.026514899
t_149,33.74664000000001,35.13823,0.0204161,0.019676792,0.021183185,0.015223094,0.027380578
t_15,32.85408000000001,34.71486,0.07004029,0.07513554,0.06529058,0.055614684,0.08820769
t_150,33.86587,35.15406,0.018646467,0.017724728,0.01961614,0.013895665,0.025021527
t_151,33.79047,35.16416,0.019906232,0.019067258,0.020782124,0.014837955,0.026705706
t_152,33.83431999999999,35.19007,0.018452074,0.017565038,0.019383905,0.013750838,0.024760602
t_153,32.79059000000001,34.78663,0.07549953,0.08171668,0.06975538,0.05851343,0.09741658
t_154,32.715329999999994,34.79628,0.08544161,0.09344672,0.078122266,0.0651734,0.11201301
t_155,32.75880999999998,34.8225,0.079301536,0.08610426,0.07303627,0.060851775,0.10334512
t_156,32.68352999999999,34.83213,0.09018618,0.098816685,0.08230945,0.06839044,0.11892813
t_157,32.802310000000006,34.8487,0.06932753,0.07472553,0.064319484,0.053519737,0.08980439
