STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
KORA,KORINTHOS,37.9386,22.9305,seismic,GHEAD,0.12071,0,0.355939656,0,0.271699429,0,0.142284219,0,,,,,,,,
OBS_1,,38.059,23.045,macroseismic,Stations_USGS,1.372525,0.8059,1.964966,1.0131,,,1.172251,1.0822,358.2,inferred,9,0.3,0.875,103.1077,1.4737,0.218054
OBS_2,,38.045,23.054,macroseismic,Stations_USGS,1.005507,0.8059,1.487929,1.0131,,,0.788146,1.0822,900,inferred,8.5,0.3,0.875,71.6248,1.4737,0.148748
OBS_3,,38.018,23.013,macroseismic,Stations_USGS,1.005507,0.8059,1.487929,1.0131,,,0.788146,1.0822,584.12,inferred,8.5,0.3,0.875,71.6248,1.4737,0.148748
OBS_4,,38.039,23.191,macroseismic,Stations_USGS,0.736631,0.8059,1.126702,1.0131,,,0.529899,1.0822,661.67,inferred,8,0.3,0.875,49.7549,1.4737,0.10147
OBS_6,,38.068,23.156,macroseismic,Stations_USGS,0.736631,0.8059,1.126702,1.0131,,,0.529899,1.0822,495.1,inferred,8,0.3,0.875,49.7549,1.4737,0.10147
OBS_5,,38.033,22.97,macroseismic,Stations_USGS,0.736631,0.8059,1.126702,1.0131,,,0.529899,1.0822,524.21,inferred,8,0.3,0.875,49.7549,1.4737,0.10147
OBS_7,,38.248,22.999,macroseismic,Stations_USGS,0.642776,0.8059,1.048798,1.0131,,,0.576065,1.0822,518.08,inferred,8,0.3,0.875,49.7549,1.4737,0.111429
OBS_8,,38.335,23.15,macroseismic,Stations_USGS,0.59822,0.8059,1.009928,1.0131,,,0.601996,1.0822,582.65,inferred,8,0.3,0.875,49.7549,1.4737,0.117065
NOAINT_1,MOSCHATO ATHINA(22039) (Intensity VIII),37.952,23.681,macroseismic,Stations_USGS,0.481519,0.8059,0.901037,1.0131,,,0.687638,1.0822,266.39,inferred,8,0.3,0.875,49.7549,1.4737,0.135884
