FIELD,DESCRIPTION
Year,1986
Country,Greece
Region,Europe
Event Name,Kalamata 1986
Local Date,13/09/1986
Local Time,20:24:31
Latitude (decimal degrees),37.014
Longitude (decimal degrees),22.176
Depth (km),11.2
Mw,6
Max Intensity (MMI),VIII
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,~20
Injured,~300
Displaced population,
Affected population,~45300
Affected units,
Damaged units,
Collapsed units,1500 Buildings
Economic losses,0-745 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp0002y1v
Wikipedia page,https://en.wikipedia.org/wiki/1986 Kalamata earthquake
