STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,SOIL_TYPE,VS30,VS30_TYPE,VS30_USGS
KOZ1,KOZ1,21.784,40.302,seismic,0.20857,0.0,B,588.0,inferred_USGS,588.0
ABS1,ABS1,23.1,40.65,seismic,0.040014,0.0,B,591.0,inferred_USGS,591.0
KAT1,KAT1,22.5,40.267,seismic,0.039921,0.0,C,311.0,inferred_USGS,311.0
LAR1,LAR1,22.417,39.637,seismic,0.029446,0.0,D,441.0,inferred_USGS,441.0
EDE1,EDE1,22.051,40.805,seismic,0.027535,0.0,C,427.0,inferred_USGS,427.0
VER1,VER1,22.203,40.526,seismic,0.027056,0.0,B,527.0,inferred_USGS,527.0
FLO1,FLO1,21.404,40.787,seismic,0.026096,0.0,B,505.0,inferred_USGS,505.0
KAR1,KAR1,21.92,39.366,seismic,0.023596,0.0,C,306.0,inferred_USGS,306.0
KAS1,KAS1,21.259,40.518,seismic,0.020242,0.0,B,162.0,inferred_USGS,162.0
KRP1,KRP1,21.8,38.917,seismic,0.014083,0.0,A,494.0,inferred_USGS,494.0
