FIELD,DESCRIPTION
Year,1999
Country,Greece
Region,Europe
Event Name,Athens 1999
Local Date,07/09/1999
Local Time,11:56:49
Latitude (decimal degrees),38.119
Longitude (decimal degrees),23.605
Depth (km),10
Mw,6
Max Intensity (MMI),IX
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,~143
Injured,750-2000
Displaced population,~108
Affected population,~113031
Affected units,
Damaged units,
Collapsed units,53000 Buildings
Economic losses,4200 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp0009e46
Wikipedia page,https://en.wikipedia.org/wiki/1999 Athens earthquake
