lon,lat,slope,vs30,geology,xvf,region,vs30measured,custom_site_id
14.45836,37.02388,0.07046815,503.39005,PLEISTOCENE,98.30862059627086,1,0,t_0
14.30315,37.02713,0.015204978,470.48795,UNKNOWN,95.95364119322548,1,0,t_1
14.38278,37.08773,0.02143189,403.60245,PLEISTOCENE,90.25154593271064,1,0,t_2
14.22749,37.09091,0.0053959237,265.37598,HOLOCENE,88.00174272772836,4,0,t_3
14.4625,37.14829,0.06336057,477.42523,PLEISTOCENE,84.77725656233265,1,0,t_4
14.30712,37.15153,0.013385326,366.0707,HOLOCENE,82.30208293604417,4,0,t_5
13.91688,37.09686,0.051279128,533.651,UNKNOWN,83.48134913295884,4,0,t_6
13.84095,37.16047,0.098803416,589.04785,CENOZOIC,75.52180645743151,4,0,t_7
14.98974,36.70015,0.007631126,301.2291,CRETACEOUS,146.53226021425684,1,0,t_8
15.06951,36.76054,0.00917307,293.57364,CRETACEOUS,144.47924465471468,1,0,t_9
14.91467,36.76432,0.017573819,373.7517,CRETACEOUS,137.93329550452876,1,0,t_10
14.83952,36.82844,0.0333875,433.1684,CENOZOIC,128.7179949944286,1,0,t_11
14.68459,36.83202,0.07783648,513.90015,CRETACEOUS,123.68838142036672,1,0,t_12
14.91929,36.88886,0.03327274,462.08405,CENOZOIC,125.5965993660966,1,0,t_13
14.76428,36.89251,0.023566522,466.0155,CENOZOIC,119.63619912792171,1,0,t_14
14.60926,36.89602,0.032215502,424.84076,CENOZOIC,115.02603215247308,1,0,t_15
14.84406,36.95295,0.003544465,338.8022,CENOZOIC,116.26577877172171,1,0,t_16
14.68896,36.95653,0.032182697,446.75247,CENOZOIC,110.66425364664111,1,0,t_17
14.53385,36.95998,0.011023897,319.347,PLEISTOCENE,106.55016478528762,1,0,t_18
14.92392,37.01334,0.079713255,551.53534,CENOZOIC,113.6257723529352,1,0,t_19
14.76875,37.01699,0.1213625,628.98145,CENOZOIC,107.01211909172652,1,0,t_20
14.61356,37.0205,0.014762376,334.42157,PLEISTOCENE,101.83222246535787,1,0,t_21
14.99444,36.82473,0.029080117,394.3937,HOLOCENE,135.0056453862067,1,0,t_22
15.07429,36.88508,0.039981097,435.3385,PLEISTOCENE,132.75414308010556,1,0,t_23
15.15423,36.94538,0.13565582,689.46423,CENOZOIC,131.1810945279105,1,0,t_24
14.99915,36.94923,0.0647185,519.485,CENOZOIC,123.1739924663348,1,0,t_25
15.23425,37.00563,0.0013513598,234.38347,PLEISTOCENE,130.28959505796,1,0,t_26
15.07909,37.00955,0.0356372,482.92096,CENOZOIC,121.47073667160429,1,0,t_27
14.84861,37.07739,0.12648162,576.50507,CRETACEOUS,104.13520860843768,1,0,t_28
14.69335,37.08097,0.043289617,453.03122,CRETACEOUS,97.85122553023648,1,0,t_29
14.53807,37.08442,0.059820335,485.12308,PLEISTOCENE,93.1813539979528,1,0,t_30
14.92856,37.13774,0.069929115,549.57605,PLEISTOCENE,102.14939469147043,1,0,t_31
14.77322,37.14139,0.0751434,543.5693,CRETACEOUS,94.73313270131295,1,0,t_32
14.61786,37.14491,0.014938428,360.8734,PLEISTOCENE,88.83728075057982,1,0,t_33
14.85317,37.20175,0.04907093,507.81024,PLEISTOCENE,92.54284511230487,1,0,t_34
14.69774,37.20534,0.026988123,409.13672,CENOZOIC,85.39751761633487,1,0,t_35
14.54229,37.20879,0.028411262,418.9591,PLEISTOCENE,79.99138893091724,1,0,t_36
14.93321,37.26207,0.009565561,292.98038,HOLOCENE,91.31503462960694,1,0,t_37
15.15912,37.06982,0.015650535,330.48514,CENOZOIC,120.53613655026123,1,0,t_38
15.00387,37.07367,0.016412234,370.00494,CENOZOIC,111.7720702576146,1,0,t_39
15.0839,37.13395,0.086283594,570.4803,CENOZOIC,110.796849733425,1,0,t_40
15.16401,37.19418,0.046579976,460.88977,PLEISTOCENE,110.35208797568473,1,0,t_41
15.0086,37.19804,0.0048783123,389.3656,CENOZOIC,101.05588676282504,1,0,t_42
15.24421,37.25436,0.06728044,506.72797,UNKNOWN,109.96978754295176,1,0,t_43
15.08872,37.25828,0.03190812,418.01398,PLEISTOCENE,100.5985953077456,1,0,t_44
14.15174,37.15465,0.023573143,440.6092,CENOZOIC,80.04922269515953,4,0,t_45
13.99635,37.15762,0.037035927,508.6537,CENOZOIC,77.78987356593649,4,0,t_46
14.38684,37.2121,0.04007633,472.08276,HOLOCENE,76.62517264844493,4,0,t_47
14.23138,37.21529,0.041736886,460.43512,PLEISTOCENE,74.35290695407662,4,0,t_48
14.07591,37.21833,0.00053959235,302.4368,CENOZOIC,72.09841058704284,4,0,t_49
14.46664,37.27262,0.063624956,545.7591,PLEISTOCENE,71.3731592944771,4,0,t_50
14.3111,37.27587,0.06017401,505.1644,PLEISTOCENE,68.65671749467818,4,0,t_51
14.15555,37.27899,0.011528392,351.34177,PLEISTOCENE,66.40534200477512,4,0,t_52
13.99999,37.28196,0.008146524,474.02414,CENOZOIC,64.14826209052325,4,0,t_53
14.3909,37.33641,0.026931856,438.82562,PLEISTOCENE,63.05193991151642,4,0,t_54
13.92043,37.22124,0.03852907,453.78442,CENOZOIC,69.83543838232016,4,0,t_55
13.76494,37.22402,0.08793817,527.50525,CENOZOIC,67.7870670285451,4,0,t_56
13.84442,37.28481,0.03341936,415.32214,HOLOCENE,61.88105055638475,4,0,t_57
13.68885,37.28752,0.0681229,509.49582,CENOZOIC,60.6162723128976,4,0,t_58
13.53326,37.29009,0.03963877,553.5628,PLEISTOCENE,62.03932646835674,4,0,t_59
13.92399,37.34555,0.046508603,441.01996,CENOZOIC,56.19751989703349,4,0,t_60
13.76833,37.34832,0.042263813,427.46408,CENOZOIC,54.046175237606384,4,0,t_61
13.61267,37.35097,0.01267856,397.39645,CENOZOIC,54.2370428839348,4,0,t_62
13.457,37.35347,0.063416235,529.35364,CENOZOIC,56.292467529152624,4,0,t_63
13.8479,37.40908,0.051912114,460.8928,CENOZOIC,48.24818384763616,4,0,t_64
13.69216,37.41179,0.013677444,445.55917,CENOZOIC,46.82956981443131,4,0,t_65
13.53641,37.41436,0.08764288,485.6583,CENOZOIC,48.38902200512479,4,0,t_66
13.92755,37.46978,0.0200784,442.4884,CENOZOIC,42.56797125297369,4,0,t_67
13.77173,37.47256,0.02462378,440.4138,CENOZOIC,40.337065808374696,4,0,t_68
13.6159,37.4752,0.0950533,593.4136,CENOZOIC,40.54435951759111,4,0,t_69
13.46006,37.47771,0.09252048,657.74023,HOLOCENE,42.64624869534923,4,0,t_70
13.38065,37.4168,0.13569775,636.0326,CENOZOIC,50.54618218371278,4,0,t_71
13.30421,37.48008,0.044210028,431.69644,HOLOCENE,44.79938877141467,4,0,t_72
14.23527,37.33959,0.08047797,528.55475,PLEISTOCENE,60.71267283716158,4,0,t_73
14.07963,37.34263,0.07561969,530.31903,CENOZOIC,58.45967394197272,4,0,t_74
14.4708,37.39689,0.08202085,504.5196,PLEISTOCENE,58.16513954779319,4,0,t_75
14.31508,37.40014,0.12889025,702.39825,PLEISTOCENE,55.01885883665865,4,0,t_76
14.15936,37.40325,0.048097897,429.03607,CENOZOIC,52.77047072483207,4,0,t_77
14.00364,37.40623,0.07560292,476.32312,CENOZOIC,50.51381642701355,4,0,t_78
14.39498,37.46063,0.03774414,506.79333,PLEISTOCENE,49.59698021651516,4,0,t_79
14.23918,37.46382,0.057342038,515.1416,PLEISTOCENE,47.08016356701452,4,0,t_80
14.08337,37.46687,0.099449016,600.5475,CENOZOIC,44.82793464570504,4,0,t_81
14.31908,37.52433,0.062247824,555.1356,PLEISTOCENE,41.391624064723466,4,0,t_82
13.38363,37.541,0.08553826,655.18945,CENOZOIC,36.90387101178203,4,0,t_83
13.22769,37.54331,0.051240433,530.39087,CENOZOIC,39.051860702509074,4,0,t_84
13.07175,37.54548,0.038431652,449.26855,PLEISTOCENE,41.19249462758202,4,0,t_85
13.30711,37.60425,0.1164287,753.59595,PLEISTOCENE,31.159843191061437,4,0,t_86
13.15109,37.60649,0.085596494,521.8421,CRETACEOUS,33.30359721572834,4,0,t_87
13.85139,37.53327,0.06473554,540.98315,CENOZOIC,34.62403699637207,4,0,t_88
13.69547,37.53599,0.067614205,537.06934,HOLOCENE,33.081648900097456,4,0,t_89
13.53955,37.53856,0.21686465,872.6673,CENOZOIC,34.747749029889334,4,0,t_90
13.93113,37.59394,0.124892116,584.1884,CENOZOIC,28.94630480874726,4,0,t_91
13.77513,37.59672,0.12064454,640.46423,CENOZOIC,26.679931240904843,4,0,t_92
13.61913,37.59936,0.057841994,686.6273,CRETACEOUS,26.862743571624456,4,0,t_93
13.46312,37.60187,0.08258524,622.48883,CRETACEOUS,29.008892952887606,4,0,t_94
13.85488,37.6574,0.1220299,660.9995,CENOZOIC,21.006349218810183,4,0,t_95
13.6988,37.66011,0.050936542,555.238,CENOZOIC,19.408746705844106,4,0,t_96
13.54271,37.66269,0.048043042,624.2204,CRETACEOUS,21.11400242385114,4,0,t_97
14.16319,37.52745,0.11353228,692.2109,CENOZOIC,39.142104223063455,4,0,t_98
14.00729,37.53043,0.041728493,444.48633,CENOZOIC,36.886898530507686,4,0,t_99
14.39906,37.58479,0.06319065,504.08807,CENOZOIC,36.36620846394026,4,0,t_100
14.24309,37.58797,0.10658463,645.49805,PLEISTOCENE,33.456299864534145,4,0,t_101
14.08711,37.59102,0.111928225,622.88684,CENOZOIC,31.20578530399992,4,0,t_102
14.32308,37.64845,0.16945729,805.1467,CENOZOIC,27.81922804164272,4,0,t_103
14.16702,37.65157,0.08625821,535.95953,CENOZOIC,25.52238252277359,4,0,t_104
14.01095,37.65455,0.118591085,592.59265,CENOZOIC,23.268600286836865,4,0,t_105
14.40315,37.70887,0.10404089,625.9186,CENOZOIC,23.880220652934483,4,0,t_106
14.24701,37.71206,0.12124559,631.19415,CENOZOIC,19.83900151256314,4,0,t_107
14.7777,37.26572,0.12176806,604.9645,PLEISTOCENE,82.9536859439111,1,0,t_108
14.62217,37.26924,0.012562921,347.1752,HOLOCENE,76.15411912143932,1,0,t_109
14.85774,37.32605,0.01569903,358.01273,PLEISTOCENE,81.58005963809475,1,0,t_110
14.70214,37.32964,0.05883409,492.3482,PLEISTOCENE,73.38928371037797,1,0,t_111
14.54653,37.33309,0.0785744,521.4534,CENOZOIC,67.04469475441685,4,0,t_112
14.93787,37.38633,0.0020373582,218.61853,HOLOCENE,81.09960751478776,1,0,t_113
