FIELD,DESCRIPTION
Year,2016
Region,Europe
Country,Italy
Event_Name,CentralItaly_2016
Local_Date,30/10/2016
Local_Time,06:40:18
Latitude,42.8621
Longitude,13.0961
Depth_(km),8
Mw,6.6
Max_Intensity_(MMI),IX
Fault_mechanism,Normal
Tectonic_region_type,Active Shallow Crust
Fatalities,0-2
Injured,20
Displaced_Population,
Affected_Population,22292
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,200 M USD
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us1000731j/executive
Wikipedia page,https://en.wikipedia.org/wiki/October_2016_Central_Italy_earthquakes
