STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
1401,,40.74567,31.60732,seismic,AFAD,C,0.8038255980000001,0.0,2.13838560510729,0.0,1.4425409709861,0.0,1.1314868949794,0.0,294,C,,,,,,
8101,,40.843923,31.148112,seismic,AFAD,C,0.512945439,0.0,1.2504581111700397,0.0,1.0306881187569887,0.0,0.7488890233986593,0.0,282,C,,,,,,
1406,,40.46843,31.20994,seismic,AFAD,C,0.121962823,0.0,0.5834195104525568,0.0,0.1436901757089491,0.0,0.0560019970557213,0.0,355,C,,,,,,
4101,,40.7665,29.91721,seismic,AFAD,A,0.05078395,0.0,0.0943788950327992,0.0,0.122991339360852,0.0,0.0506364564822303,0.0,826,A,,,,,,
1404,,40.39659,30.78307,seismic,AFAD,C,0.027116208,0.0,0.0533488899876445,0.0,0.0372845155907389,0.0,0.0407660901222048,0.0,348,C,,,,,,
5401,,40.73707,30.38005,seismic,AFAD,unknown,0.0239462909999999,0.0,0.0619168768938762,0.0,0.026520021794235,0.0,0.0245156400618666,0.0,412,unknown,,,,,,
1612,,40.44163,29.71688,seismic,AFAD,C,0.023272442,0.0,0.0820907560685725,0.0,0.0718669312601362,0.0,0.0378892791433063,0.0,197,C,,,,,,
4302,,39.4193,29.99716,seismic,AFAD,unknown,0.020660871,0.0,0.028593978014236,0.0,0.0371089609166743,0.0,0.057643202691326,0.0,None,unknown,,,,,,
301,,38.77598,30.53395,seismic,AFAD,C,0.010270187,0.0,0.0127874402424668,0.0,0.0215959200615901,0.0,0.0403988024548439,0.0,226,C,,,,,,
1604,,40.1831,29.1273,seismic,AFAD,B,0.009284103,0.0,0.0153042287326134,0.0,0.0190875295116907,0.0,0.0274560684814783,0.0,459,B,,,,,,
3401,,41.0582,29.00951,seismic,AFAD,B,0.0089384429999999,0.0,0.0199230316554888,0.0,0.0168402375778438,0.0,0.015853685258321,0.0,595,B,,,,,,
3701,,41.01319,34.03671,seismic,AFAD,C,0.007876709,0.0,0.0144185530135359,0.0,0.0142983296280318,0.0,0.0229072676779565,0.0,362,C,,,,,,
5902,,40.97928,27.51504,seismic,AFAD,unknown,0.006100995,0.0,0.0082023290006956,0.0,0.0120555646432622,0.0,0.0165671875331999,0.0,409,unknown,,,,,,
1701,,40.14145,26.39948,seismic,AFAD,C,0.003925071,0.0,0.0047751300122139,0.0,0.0075742648840541,0.0,0.014694689920838,0.0,192,C,,,,,,
2002,,37.81247,29.11113,seismic,AFAD,C,0.003662398,0.0,0.0036700151591744,0.0,0.0041109336788236,0.0,0.0057820585602466,0.0,356,C,,,,,,
6401,,38.67128,29.40401,seismic,AFAD,unknown,0.003084407,0.0,0.0038315190224911,0.0,0.0073165904817075,0.0,0.0064466591684126,0.0,285,unknown,,,,,,
1001,,39.65003,27.85686,seismic,AFAD,B,0.00269038,0.0,0.0045470277082805,0.0,0.0066988164765502,0.0,0.0039103226422331,0.0,662,B,,,,,,
3502,,38.45514,27.22673,seismic,AFAD,C,0.00184332,0.0,0.0026894351293466,0.0,0.0047758275371875,0.0,0.0043289951161499,0.0,270,C,,,,,,
4501,,38.61259,27.38138,seismic,AFAD,unknown,0.001820605,0.0,0.0020815199886572,0.0,0.0022741832202021,0.0,0.0051930742630356,0.0,340,unknown,,,,,,
OBS_1,Duzce (Intensity IX),40.83872,31.16261,macroseismic,Stations_USGS,,1.493747,0.8059,1.964966,1.0131,,,1.409356,1.0822,239.77,inferred,9.0,0.3,0.875,114.5146,1.4737,0.247958
496,IRIGM Station No. 496,40.742,30.873,seismic,Stations_USGS,,1.040816,0.0,3.255102,0.0,,,0.231633,0.0,877.41,inferred,7.7,0.63,0.0,44.3,0.0,0.056735
C0375,LDEO Station No. C0375 VO,40.743,30.876,seismic,Stations_USGS,,0.920408,0.0,2.22449,0.0,,,0.136735,0.0,877.41,inferred,7.5,0.63,0.0,38.0,0.0,0.029592
BOL,Bolu-Bayindirlik ve Iskan Mudurlugu,40.746,31.607,seismic,Stations_USGS,,0.80102,0.0,1.061224,0.0,,,1.132653,0.0,399.62,inferred,8.2,0.63,0.0,65.0,0.0,0.084796
OBS_2,Bolu (Intensity VIII),40.73254,31.60821,macroseismic,Stations_USGS,,0.699803,0.8059,1.049001,1.0131,,,0.692427,1.0822,230.07,inferred,8.0,0.3,0.875,55.2593,1.4737,0.126678
OBS_3,Hendek (Intensity VIII),40.79505,30.74471,macroseismic,Stations_USGS,,0.684962,0.8059,1.037245,1.0131,,,0.701584,1.0822,406.04,inferred,8.0,0.3,0.875,55.2593,1.4737,0.128557
OBS_4,Adapazari (Intensity VIII),40.77813,30.40054,macroseismic,Stations_USGS,,0.524848,0.8059,0.901761,1.0131,,,0.825948,1.0822,217.38,inferred,8.0,0.3,0.875,55.2593,1.4737,0.154357
DZC,Duzce-Meteoroloji Mudurlugu,40.843,31.151,seismic,Stations_USGS,,0.514286,0.0,1.05102,0.0,,,0.721429,0.0,239.77,inferred,8.2,0.63,0.0,63.5,0.0,0.173469
498,IRIGM Station No. 498,40.746,30.879,seismic,Stations_USGS,,0.389796,0.0,1.020408,0.0,,,0.195918,0.0,877.41,inferred,6.5,0.63,0.0,18.4,0.0,0.063878
487,IRIGM Station No. 487,40.749,30.889,seismic,Stations_USGS,,0.295918,0.0,1.020408,0.0,,,0.219388,0.0,877.41,inferred,7.0,0.63,0.0,26.0,0.0,0.057653
C1062,LDEO Station No. C1062 FI,40.723,30.82,seismic,Stations_USGS,,0.254082,0.0,0.912245,0.0,,,0.178571,0.0,900.0,inferred,6.3,0.63,0.0,16.4,0.0,0.017143
