STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
KTHA,KTHA,23.0621,36.2566,seismic,494.38,3.7,0.63,0.0,0.001441,0.0,1.4543,0.0,0.001931,0.0,0.003008,0.0,0.001526,inferred,Stations_USGS
LTRS,LTRS,22.9765,37.97528,seismic,900.0,4.0,0.63,0.0,0.009631,0.0,2.4104,0.0,0.012476,0.0,0.034704,0.0,0.004274,inferred,Stations_USGS
XLKS,XLKS,22.6361,38.0772,seismic,600.0,3.8,0.63,0.0,0.005964,0.0,1.5523,0.0,0.007129,0.0,0.014671,0.0,0.00619,inferred,Stations_USGS
ABEA,ABEA,24.0113,35.5163,seismic,290.57,3.8,0.63,0.0,0.007695,0.0,1.9402,0.0,0.012446,0.0,0.018297,0.0,0.011094,inferred,Stations_USGS
ATEI,ATEI,24.0432,35.5193,seismic,618.5,3.8,0.63,0.0,0.007828,0.0,1.7991,0.0,0.017069,0.0,0.013416,0.0,0.007723,inferred,Stations_USGS
DEYA,DEYA,24.014,35.4825,seismic,514.28,4.0,0.63,0.0,0.007881,0.0,2.3134,0.0,0.011331,0.0,0.037484,0.0,0.00719,inferred,Stations_USGS
LENT,LENT,24.0402,35.5074,seismic,330.36,3.9,0.63,0.0,0.007864,0.0,1.4219,0.0,0.011379,0.0,0.027402,0.0,0.005865,inferred,Stations_USGS
MULT,MULT,24.0118,35.5091,seismic,290.57,3.5,0.63,0.0,0.004564,0.0,1.1875,0.0,0.006595,0.0,0.009787,0.0,0.006234,inferred,Stations_USGS
NERO,NERO,24.0423,35.474,seismic,870.11,4.0,0.63,0.0,0.006276,0.0,2.4146,0.0,0.009966,0.0,0.015155,0.0,0.004508,inferred,Stations_USGS
POLY,POLY,24.0602,35.5226,seismic,379.24,3.8,0.63,0.0,0.005227,0.0,1.723,0.0,0.009956,0.0,0.01099,0.0,0.006599,inferred,Stations_USGS
ARS1,ARS1,22.729242,37.634811,seismic,292.0,3.8,0.63,0.0,0.004043,0.0,0.8343,0.0,0.007153,0.0,0.009687,0.0,0.0029,inferred,Stations_USGS
ATH5,ATH5,23.737098,37.975421,seismic,471.38,3.6,0.63,0.0,0.003956,0.0,1.3038,0.0,0.012185,0.0,0.004824,0.0,0.002154,inferred,Stations_USGS
CH01,CH01,24.020798,35.516961,seismic,290.57,3.6,0.63,0.0,0.006256,0.0,0.9534,0.0,0.012848,0.0,0.01207,0.0,0.003704,inferred,Stations_USGS
KLV1,KLV1,22.10797,38.03256,seismic,305.93,3.2,0.63,0.0,0.000927,0.0,0.4604,0.0,0.002411,0.0,0.001954,0.0,0.001425,inferred,Stations_USGS
LMN1,LMN1,25.06861,39.87515,seismic,422.75,3.2,0.63,0.0,0.002961,0.0,0.6236,0.0,0.009688,0.0,0.002778,0.0,0.001999,inferred,Stations_USGS
MYT1,MYT1,26.5694,39.085,seismic,674.64,3.9,0.63,0.0,0.018909,0.0,2.186,0.0,0.042634,0.0,0.02815,0.0,0.006564,inferred,Stations_USGS
NAX1,NAX1,25.374103,37.101394,seismic,600.0,4.1,0.63,0.0,0.030922,0.0,3.1206,0.0,0.081166,0.0,0.021636,0.0,0.004884,inferred,Stations_USGS
NPS1,NPS1,23.06248,36.51263,seismic,498.65,3.6,0.63,0.0,0.00287,0.0,1.2516,0.0,0.004029,0.0,0.007616,0.0,0.003696,inferred,Stations_USGS
SFL1,SFL1,26.30427,41.19001,seismic,424.29,3.2,0.63,0.0,0.005826,0.0,0.6276,0.0,0.010349,0.0,0.008647,0.0,0.001428,inferred,Stations_USGS
SIT2,SIT2,26.10709,35.20586,seismic,468.75,3.4,0.63,0.0,0.004003,0.0,0.6048,0.0,0.009001,0.0,0.003877,0.0,0.001092,inferred,Stations_USGS
SKY1,SKY1,24.564571,38.904483,seismic,556.27,3.7,0.63,0.0,0.002333,0.0,1.4386,0.0,0.00606,0.0,0.004917,0.0,0.002174,inferred,Stations_USGS
ANKY,ANKY,23.30117,35.86704,seismic,619.57,3.6,0.63,0.0,0.001729,0.0,1.3575,0.0,0.003095,0.0,0.005325,0.0,0.002459,inferred,Stations_USGS
ASTA,ASTA,26.3528,36.54543,seismic,455.78,3.9,0.63,0.0,0.004789,0.0,1.5032,0.0,0.014655,0.0,0.006593,0.0,0.003771,inferred,Stations_USGS
ATHP,ATHP,23.773487,38.000799,seismic,484.43,3.6,0.63,0.0,0.004818,0.0,1.11,0.0,0.008795,0.0,0.007282,0.0,0.002143,inferred,Stations_USGS
EFSA,EFSA,24.98864,39.54015,seismic,514.75,3.6,0.63,0.0,0.002431,0.0,0.7398,0.0,0.004986,0.0,0.007192,0.0,0.001814,inferred,Stations_USGS
IACM,IACM,25.0709,35.3058,seismic,422.48,3.9,0.63,0.0,0.008242,0.0,2.1638,0.0,0.016042,0.0,0.027783,0.0,0.003067,inferred,Stations_USGS
ITM,ITM,21.92522,37.17872,seismic,900.0,3.5,0.63,0.0,0.000952,0.0,1.1315,0.0,0.000982,0.0,0.001195,0.0,0.001966,inferred,Stations_USGS
KLNA,KLNA,26.97276,36.95708,seismic,612.98,3.8,0.63,0.0,0.025667,0.0,1.8313,0.0,0.083969,0.0,0.015893,0.0,0.004148,inferred,Stations_USGS
KTHA,KTHA,23.0621,36.2566,seismic,494.38,3.6,0.63,0.0,0.008314,0.0,1.3592,0.0,0.015495,0.0,0.017483,0.0,0.002404,inferred,Stations_USGS
LIA,LIA,25.18055,39.89725,seismic,464.17,3.2,0.63,0.0,0.001909,0.0,0.6989,0.0,0.003289,0.0,0.003225,0.0,0.001886,inferred,Stations_USGS
MNVA,MNVA,23.03734,36.68709,seismic,883.64,3.5,0.63,0.0,0.001311,0.0,1.0554,0.0,0.00149,0.0,0.002773,0.0,0.001596,inferred,Stations_USGS
NISR,NISR,27.1309,36.6106,seismic,600.0,3.8,0.63,0.0,0.009417,0.0,1.5886,0.0,0.017701,0.0,0.009861,0.0,0.005132,inferred,Stations_USGS
NOAC,NOAC,23.71767,37.97384,seismic,408.16,3.7,0.63,0.0,0.004162,0.0,1.5709,0.0,0.012988,0.0,0.007593,0.0,0.00241,inferred,Stations_USGS
PRK,PRK,26.26499,39.24565,seismic,375.13,4.1,0.63,0.0,0.028436,0.0,3.0344,0.0,0.055514,0.0,0.049713,0.0,0.003226,inferred,Stations_USGS
SIVA,SIVA,24.80996,35.01746,seismic,454.41,3.4,0.63,0.0,0.002949,0.0,1.0224,0.0,0.005806,0.0,0.006597,0.0,0.001702,inferred,Stations_USGS
THRA,THRA,25.43244,36.41502,seismic,578.77,5.1,0.63,0.0,0.039693,0.0,6.2877,0.0,0.079549,0.0,0.076857,0.0,0.028258,inferred,Stations_USGS
TNSA,TNSA,25.1631,37.53942,seismic,374.97,4.2,0.63,0.0,0.025691,0.0,2.4182,0.0,0.094846,0.0,0.026114,0.0,0.006457,inferred,Stations_USGS
YDRA,YDRA,23.46529,37.34947,seismic,693.52,3.8,0.63,0.0,0.004776,0.0,1.8824,0.0,0.007186,0.0,0.012,0.0,0.002603,inferred,Stations_USGS
ANX,ANX,21.9209,38.5933,seismic,847.19,3.4,0.63,0.0,0.001094,0.0,0.9175,0.0,0.003863,0.0,0.002721,0.0,0.001726,inferred,Stations_USGS
GUR,GUR,22.3423,37.9363,seismic,900.0,3.0,0.63,0.0,0.001138,0.0,0.4942,0.0,0.002225,0.0,0.002303,0.0,0.000943,inferred,Stations_USGS
LTK,LTK,22.9673,38.0228,seismic,900.0,3.7,0.63,0.0,0.002886,0.0,1.0182,0.0,0.004739,0.0,0.006134,0.0,0.002861,inferred,Stations_USGS
