STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
AMIA,,22.3784,38.52795,seismic,900.0,5.7,0.63,0.0,0.18,0.0,9.4,,,,,,,inferred,Stations_USGS
LEF1,,20.7,38.83,seismic,255.39,4.0,0.63,0.0,0.013,0.0,1.74,,,,,,,inferred,Stations_USGS
KRP1,,21.8,38.92,seismic,900.0,2.9,0.63,0.0,0.01,0.0,0.41,,,,,,,inferred,Stations_USGS
PATA,,21.73,38.25,seismic,399.64,5.4,0.63,0.0,0.04,0.0,7.68,,,,,,,inferred,Stations_USGS
ZAK1,,21.9,37.785,seismic,852.48,null,null,0.0,0.001183,0.0,0.0181,,,,,,,inferred,Stations_USGS
PAT1,,21.73,38.25,seismic,399.64,5.5,0.63,0.0,0.033,0.0,7.93,,,,,,,inferred,Stations_USGS
PYR1,,21.438,37.67,seismic,310.56,null,null,0.0,0.00555,0.0,0.0549,,,,,,,inferred,Stations_USGS
MRNA,,22.117,38.5247,seismic,493.4,4.4,0.63,0.0,0.07,0.0,3.59,,,,,,,inferred,Stations_USGS
ATH3,,23.73,37.98,seismic,471.38,3.4,0.63,0.0,0.01,0.0,0.87,,,,,,,inferred,Stations_USGS
KOR1,,22.93,37.94,seismic,347.15,4.5,0.63,0.0,0.021,0.0,0.44,,,,,,,inferred,Stations_USGS
NAUA,,21.83332,38.39369,seismic,542.4,4.3,0.63,0.0,0.05,0.0,3.16,,,,,,,inferred,Stations_USGS
AGR1,,21.41,38.62,seismic,376.47,4.0,0.63,0.0,0.017,0.0,2.0,,,,,,,inferred,Stations_USGS
AIGA,,22.08526,38.25127,seismic,481.32,7.9,0.63,0.0,0.53,0.0,46.3,,,,,,,inferred,Stations_USGS
KORA,,22.93055,37.93862,seismic,347.15,3.7,0.63,0.0,0.01,0.0,1.37,,,,,,,inferred,Stations_USGS
obs_129,EXAMILLIA  KORINTHIA(1973),22.934,37.903,macroseismic,347.31,4.5,0.3,0.8059,0.049649,0.875,3.9349,1.0131,0.078626,1.0822,0.046587,1.4737,0.010198,inferred,Stations_USGS
OBS_232,Mantoudion,23.47,38.78,macroseismic,415.83,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_147,Kamarai,22.0,38.28,macroseismic,600.09,6.5,0.3,0.8059,0.273054,0.875,16.8985,1.0131,0.471648,1.0822,0.171971,1.4737,0.034333,inferred,Stations_USGS
obs_118,GALATAS  AITOLOAKARNANIA(1271),21.56,38.339,macroseismic,248.83,4.5,0.3,0.8059,0.053833,0.875,3.9349,1.0131,0.087261,1.0822,0.042829,1.4737,0.0092,inferred,Stations_USGS
OBS_156,Kastoreion,22.28,37.17,macroseismic,774.82,4.0,0.3,0.8059,0.023252,0.875,2.1544,1.0131,0.032329,1.0822,0.026567,1.4737,0.005275,inferred,Stations_USGS
obs_400,MAKRAKOMI  PHTHIOTIDA(2717),22.102,38.938,macroseismic,551.29,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_31,DESPHINA  PHOKIDA(2389),22.554,38.38,macroseismic,696.71,5.5,0.3,0.8059,0.125116,0.875,8.1544,1.0131,0.248871,1.0822,0.085647,1.4737,0.01781,inferred,Stations_USGS
OBS_191,Krokeai,22.52,36.87,macroseismic,550.0,4.0,0.3,0.8059,0.019767,0.875,2.1544,1.0131,0.029617,1.0822,0.028782,1.4737,0.005949,inferred,Stations_USGS
OBS_334,Skoulikado,20.767,37.8,macroseismic,900.0,4.0,0.3,0.8059,0.022126,0.875,2.1544,1.0131,0.031474,1.0822,0.027226,1.4737,0.005472,inferred,Stations_USGS
obs_171,LEPENOU  AITOLOAKARNANIA(2445),21.269,38.726,macroseismic,615.66,4.0,0.3,0.8059,0.029032,0.875,2.1544,1.0131,0.036442,1.0822,0.023812,1.4737,0.004475,inferred,Stations_USGS
obs_331,PEIRAIAS  PIREAS(182671),23.656,37.946,macroseismic,251.73,4.0,0.3,0.8059,0.023165,0.875,2.1544,1.0131,0.032263,1.0822,0.026617,1.4737,0.00529,inferred,Stations_USGS
obs_40,PROSILIO  PHOKIDA(268),22.312,38.61,macroseismic,900.0,5.5,0.3,0.8059,0.114498,0.875,8.1544,1.0131,0.237534,1.0822,0.090432,1.4737,0.018928,inferred,Stations_USGS
obs_262,LAFKA  KORINTHIA(399),22.404,37.818,macroseismic,900.0,4.0,0.3,0.8059,0.039356,0.875,2.1544,1.0131,0.044035,1.0822,0.02003,1.4737,0.003452,inferred,Stations_USGS
OBS_133,Ithaki,20.72,38.37,macroseismic,600.0,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_31,Aigina,23.42,37.75,macroseismic,600.0,4.0,0.3,0.8059,0.024492,0.875,2.1544,1.0131,0.033247,1.0822,0.025895,1.4737,0.005076,inferred,Stations_USGS
OBS_340,Sofikon,23.03,37.78,macroseismic,734.23,4.5,0.3,0.8059,0.046979,0.875,3.9349,1.0131,0.073224,1.0822,0.048192,1.4737,0.010593,inferred,Stations_USGS
OBS_378,Velestinon,22.733,39.383,macroseismic,527.86,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_238,ISTIAIA  EVIA(5165),23.148,38.965,macroseismic,289.66,4.0,0.3,0.8059,0.026488,0.875,2.1544,1.0131,0.034683,1.0822,0.024914,1.4737,0.00479,inferred,Stations_USGS
obs_389,LONKANIKOS  LAKONIA(716),22.259,37.247,macroseismic,701.71,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_344,Spata,23.92,37.95,macroseismic,387.12,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_256,Nafpaktos,21.82,38.37,macroseismic,600.0,4.5,0.3,0.8059,0.062667,0.875,3.9349,1.0131,0.106123,1.0822,0.035814,1.4737,0.007033,inferred,Stations_USGS
OBS_152,Kardamas,21.32,37.77,macroseismic,299.45,4.0,0.3,0.8059,0.028016,0.875,2.1544,1.0131,0.035749,1.0822,0.024234,1.4737,0.004595,inferred,Stations_USGS
OBS_284,Perama,23.57,37.97,macroseismic,585.29,4.0,0.3,0.8059,0.024211,0.875,2.1544,1.0131,0.033041,1.0822,0.026043,1.4737,0.005119,inferred,Stations_USGS
obs_356,NIATA  LAKONIA(789),22.854,36.893,macroseismic,487.69,3.5,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_357,Syvros,20.65,38.6,macroseismic,600.0,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_234,SIMOPOULO  ELIA(516),21.559,37.855,macroseismic,341.01,4.0,0.3,0.8059,0.033511,0.875,2.1544,1.0131,0.039375,1.0822,0.022186,1.4737,0.004024,inferred,Stations_USGS
OBS_314,Riolos,21.45,38.03,macroseismic,360.76,4.0,0.3,0.8059,0.03459,0.875,2.1544,1.0131,0.040054,1.0822,0.021842,1.4737,0.003931,inferred,Stations_USGS
obs_1,VALIMITIKA  ACHAIA(550),22.135,38.223,macroseismic,284.81,7.0,0.3,0.8059,0.399553,0.875,24.3263,1.0131,0.646046,1.0822,0.245113,1.4737,0.047983,inferred,Stations_USGS
obs_99,SYKIA  PHOKIDA(226),22.22,38.645,macroseismic,900.0,5.0,0.3,0.8059,0.082041,0.875,5.6645,1.0131,0.177783,1.0822,0.061633,1.4737,0.01311,inferred,Stations_USGS
OBS_150,Kamena Vourla,22.77,38.77,macroseismic,900.0,4.0,0.3,0.8059,0.036162,0.875,2.1544,1.0131,0.041026,1.0822,0.021368,1.4737,0.003804,inferred,Stations_USGS
OBS_108,Evinochorion,21.52,38.37,macroseismic,324.33,4.0,0.3,0.8059,0.038645,0.875,2.1544,1.0131,0.043013,1.0822,0.020464,1.4737,0.003565,inferred,Stations_USGS
obs_409,MENIDI  AITOLOAKARNANIA(1514),21.158,39.042,macroseismic,622.28,2.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_290,VOLOS  MAGNISIA(77192),22.924,39.349,macroseismic,446.29,4.0,0.3,0.8059,0.02304,0.875,2.1544,1.0131,0.032169,1.0822,0.026688,1.4737,0.005311,inferred,Stations_USGS
obs_301,MIKROMANI  MESSINIA(735),22.034,37.067,macroseismic,239.73,4.0,0.3,0.8059,0.021708,0.875,2.1544,1.0131,0.031152,1.0822,0.027483,1.4737,0.00555,inferred,Stations_USGS
OBS_186,Kremmydia,21.77,36.97,macroseismic,405.27,4.0,0.3,0.8059,0.020327,0.875,2.1544,1.0131,0.030066,1.0822,0.028389,1.4737,0.005827,inferred,Stations_USGS
obs_162,DRYMOS  AITOLOAKARNANIA(688),21.03,38.868,macroseismic,805.06,4.0,0.3,0.8059,0.024509,0.875,2.1544,1.0131,0.03326,1.0822,0.025887,1.4737,0.005073,inferred,Stations_USGS
OBS_29,Agridion,22.25,38.02,macroseismic,866.13,4.5,0.3,0.8059,0.062912,0.875,3.9349,1.0131,0.106657,1.0822,0.03565,1.4737,0.006985,inferred,Stations_USGS
OBS_101,Ellopia,23.12,38.27,macroseismic,380.98,4.0,0.3,0.8059,0.033447,0.875,2.1544,1.0131,0.039334,1.0822,0.022207,1.4737,0.00403,inferred,Stations_USGS
