calc_id,description,cal_time,recording_stations,gmlt,rupture,gmpe,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
234,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
",89, Seismic, USGS, GCMT,ChiouYoungs2014,PGA,0.75348026,0.147,0.104,0.147
230,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
",96, Seismic, GEM, USGS,ZhaoEtAl2006Asc,PGA,0.85744625,0.265,0.128,0.265
234,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
",89, Seismic, USGS, GCMT,AbrahamsonEtAl2014,PGA,0.8174782,0.283,0.112,0.283
231,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
",92, Seismic, GEM, GCMT,ZhaoEtAl2006Asc,PGA,0.8075259,0.318,0.128,0.318
230,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
",96, Seismic, GEM, USGS,CampbellBozorgnia2014,PGA,0.97661936,0.325,0.104,0.325
233,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
",90, Seismic, USGS, USGS,CampbellBozorgnia2014,PGA,0.97661936,0.325,0.104,0.325
235,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1992
",88, Seismic, USGS, Berberian_et_al_1992,ChiouYoungs2014,PGA,0.83129257,0.408,0.104,0.408
233,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
",90, Seismic, USGS, USGS,ChiouYoungs2014,PGA,0.81625754,0.418,0.104,0.418
234,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
",89, Seismic, USGS, GCMT,CampbellBozorgnia2014,PGA,0.8953573,0.448,0.104,0.448
231,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
",92, Seismic, GEM, GCMT,CampbellBozorgnia2014,PGA,0.8953573,0.448,0.104,0.448
232,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:Berberian_et_al_1992
",93, Seismic, GEM, Berberian_et_al_1992,ZhaoEtAl2006Asc,PGA,0.9146284,0.461,0.128,0.461
235,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1992
",88, Seismic, USGS, Berberian_et_al_1992,AbrahamsonEtAl2014,PGA,0.870803,0.467,0.113,0.467
233,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
",90, Seismic, USGS, USGS,BooreEtAl2014,PGA,0.80490863,0.488,0.112,0.488
230,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
",96, Seismic, GEM, USGS,BooreEtAl2014,PGA,0.80490863,0.488,0.112,0.488
231,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
",92, Seismic, GEM, GCMT,BooreEtAl2014,PGA,0.9762946,0.522,0.111,0.522
234,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
",89, Seismic, USGS, GCMT,BooreEtAl2014,PGA,0.9762946,0.522,0.111,0.522
233,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
",90, Seismic, USGS, USGS,AbrahamsonEtAl2014,PGA,0.83081716,0.579,0.113,0.579
230,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
",96, Seismic, GEM, USGS,AkkarEtAlRjb2014,PGA,0.87171537,0.59,0.133,0.59
