ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,INJURIES_CRITICAL,INJURIES_SERIOUS,DISPLACED_POPULATION,HOMELESS,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,DS3_EXTENSIVE,DAMAGED_SEVERELY,DESTROYED_UNITS,UNIT_TYPES,OCCUPANCY,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS,INJURIES_LIGHT,INJURIES_SEVERE,SHELTERED,DS1_SLIGHT,DS2_MODERATE,DS4_COMPLETE,TAXONOMY,GEM_TAXONOMY,OCCUPANCY
IRN,Iran,31000,31000,,,,,,,,,,,,,,,,,,,,Worlddata,,,,,,,,,,
IRN,Iran,31000,31000,30000,,,,75600,,,,,,,,,,32700000,,USD,,,USGS,Damage estimated at 32.7 million U.S. dollars. ,,,,,,,,,
IRN,Iran,26796,26796,22628,,,,45000,200000,,,,,,,,,500000000,,USD,,,EM-DAT,Geo Locations: Bam (Adm2).,,,,,,,,,
IRN,Iran,26271,26271,9647,,,,,142376,,,,,,,,,,,,,,MScThesis_Tabasian,,,,,,,,,,
IRN,Iran,26500-43200,26500-43200,30000,,,,,,,,,,,,,,1500000000,,USD,,,Berberian_Book_2014,Direct economic loss is 1500 M USD.,,,,,,,,,
IRN,Iran,26271-50000,26271-50000,22628-200000,,,45000-75600,100000,,,,,,,,,,,,,,,Wikipedia,,,,,,,,,,
IRN,Iran,31000,31000,30000,,,,,,,,,,,,,,500000000,,USD,,,NOAA,,,,,,,,,,
IRN,Iran,33000,33000,50000,,,,100000,,,20246,,,,,Buildings,Residential,,,,,,IIEES,,,,,,,,,,
IRN,Iran,26500,26500,,,,,,,,,,,,,,,,,,,,Allamehzadeh_et_al_2005,,,,,,,,,,
IRN,Iran,26271,26271,30000,,,,100000,142000,,740,15935,740,740,15935,Buildings,Residential,,,,,,Amini-Hosseini_et_al_2013,,,,,,,,,,
IRN,Iran,,,,,,,,,,1641,10176,1641,1641,10176,Buildings,Non-Residential,,,,,,Amini-Hosseini_et_al_2013,,,,,,,,,,
IRN,Iran,31000-43000,31000-43000,30000-50000,,,,,,,,,,,,,,1500000000,,USD,,,Berberian_2005,,,,,,,,,,
IRN,Iran,25000,25000,50000,,,,100000,,,,,,,,,,,,,,,Eshghi_And_Zare_2003,,,,,,,,,,
IRN,Iran,26500,26500,,,,,,,,,,,,,,,,,,,,Farahbod_et_al_2004,,,,,,,,,,
IRN,Iran,31383,31383,20000,,,,65000,,,9005,52756,,,52756,Buildings,,,,,,,Ghafory_Ashtiany_And_Hosseini_2006,,,,,,,,,,
IRN,Iran,26271,26271,20000,,,,,,,,,,,,,,,,,,,Hasanali_et_al_2007,,,,,,,,,,
IRN,Iran,26000,26000,30000,,,,75600,200000,,,,,,,,,,,,,,Hisada_et_al_2004,,,,,,,,,,
IRN,Iran,>40000,>40000,,,,,,,,,,,,,,,,,,,,Ibrion_And_Paltrinieri_2018,,,,,,,,,,
IRN,Iran,26500-43000,26500-43000,17500-50000,,,,,,,,,,,,,,1500000000,,USD,,,Ibrion_et_al_2015,The direct economic losses were estimated at the value of USD 1.5 billion at that time.,,,,,,,,,
IRN,Iran,33000,33000,10000,,,,75000,,,,,,,,,,,,,,,Izadkhah_And_Amini_2010,,,,,,,,,,
IRN,Iran,26000-40000,26000-40000,,,,,,,,,,,,,,,,,,,,Jackson_et_al_2006,,,,,,,,,,
IRN,Iran,26500,26500,25000,,,,75000,,,,,,,,,,,,,,,Kishore_et_al_2004,,,,,,,,,,
IRN,Iran,27200,27200,14300,,,,,,,,,,,,,,,,,,,Kuwata_et_al_2005,,,,,,,,,,
IRN,Iran,43200,43200,20000-50000,50000,50000,75600,100000,,,,49000,,,49000,Dwellings,,,,,,,Learnig_From_Earthqauke,,,,,,,,,,
IRN,Iran,26000,26000,30000,,,,75000,145500,,,,,,,,,,,,,,Manafpour_2008,,,,,,,,,,
IRN,Iran,35000-45000,35000-45000,30000,,,,,,,,,,,,,,,,,,,Ramazi_And_Soltani_Jigheh_2006,,,,,,,,,,
IRN,Iran,30000,30000,,,,,,,,,,,,,,,,,,,,Peyret_et_al_2006,,,,,,,,,,
IRN,Iran,30000,30000,50000,50000,50000,,100000,,,,,,,,,,,,,,,Naeim_et_al_2004,,,,,,,,,,
IRN,Iran,40000,40000,30000,,,,,,,,25000,,,25000,Buildings,,,,,,,Moosazadeh_et_al_2014,,,,,,,,,,
IRN,Iran,26000,26000,30000,,,,75000,200000,,,,,,,,,,,,,,Manafpour_EEFIT,,,,,,,,,,
IRN,Iran,26500,26500,50000,,,,100000,,,,,,,,,,,,,,,Zare_And_Hamzehlou_2004,,,,,,,,,,
IRN,Iran,45000,45000,,,,,50000,,,,,,,,,,,,,,,Zahrai_And_Heidarzadeh_2004,,,,,,,,,,
IRN,Iran,41000,41000,30000,,,,75000,,,,18000,,,18000,Buildings,,,,,,,Reliefweb,,,,,,,,,,
IRN,Iran,>26000,>26000,,,,,,,,,,,,,,,,,,,,Sanada_et_al_2004,,,,,,,,,,
IRN,Iran,26500,26500,,,,,,,,,,,,,,,,,,,,Tatar_et_al_2004.,,,,,,,,,,
IRN,Iran,26200,26200,30000,,,,,,,,,,,,,,,,,,,Tobita_et_al_2007,,,,,,,,,,
IRN,Iran,26000,26000,,,,,,,,,,,,,,,,,,,,UNESCO,,,,,,,,,,
IRN,Iran,40000,40000,30000,,,,>45000,,,,20000,,,20000,Buildings,,,,,,,WHO,This earthquake destroyed about 20000 homes.,,,,,,,,,
IRN,Iran,31000,31000,,,,,,,,,,,,,,,,,,,,CEQID,,,,,,,,,,
