ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
,Augusta,,,,1511,,,,,,Shaking,Wikipedia Italian,
,Avola,,,,151,,,,,,Shaking,Wikipedia Italian,
,Buccheri,,,,4,,,,,,Shaking,Wikipedia Italian,
,Buscemi,,,,3,,,,,,Shaking,Wikipedia Italian,
,Canicattini Bagni,,,,5,,,,,,Shaking,Wikipedia Italian,
,Carlentini,,,,1595,,,,,,Shaking,Wikipedia Italian,
,Cassaro,,,,4,,,,,,Shaking,Wikipedia Italian,
,Ferla,,,,11,,,,,,Shaking,Wikipedia Italian,
,Floridia,,,,11,,,,,,Shaking,Wikipedia Italian,
,Francofonte,,,,143,,,,,,Shaking,Wikipedia Italian,
,Lentini,,,,579,,,,,,Shaking,Wikipedia Italian,
,Melilli,,,,509,,,,,,Shaking,Wikipedia Italian,
,Noto,,,,180,,,,,,Shaking,Wikipedia Italian,
,Pachino,,,,24,,,,,,Shaking,Wikipedia Italian,
,Priolo Gargallo,,,,26,,,,,,Shaking,Wikipedia Italian,
,Rosolini,,,,7,,,,,,Shaking,Wikipedia Italian,
,Siracusa,,,,309,,,,,,Shaking,Wikipedia Italian,
,Solarino,,,,2,,,,,,Shaking,Wikipedia Italian,
,Sortino,,,,59,,,,,,Shaking,Wikipedia Italian,
,Aci Catena,,,,12,,,,,,Shaking,Wikipedia Italian,
,Caltagirone,,,,19,,,,,,Shaking,Wikipedia Italian,
,Catania,,,,473,,,,,,Shaking,Wikipedia Italian,
,Grammichele,,,,7,,,,,,Shaking,Wikipedia Italian,
,Licodia Eubea,,,,4,,,,,,Shaking,Wikipedia Italian,
,Maletto,,,,1,,,,,,Shaking,Wikipedia Italian,
,Militello,,,,129,,,,,,Shaking,Wikipedia Italian,
,Mineo,,,,22,,,,,,Shaking,Wikipedia Italian,
,Motta S. Anastasia,,,,8,,,,,,Shaking,Wikipedia Italian,
,Palagonia,,,,58,,,,,,Shaking,Wikipedia Italian,
,Ramacca,,,,13,,,,,,Shaking,Wikipedia Italian,
,Scordia,,,,134,,,,,,Shaking,Wikipedia Italian,
,S.Giovanni La Punta,,,,1,,,,,,Shaking,Wikipedia Italian,
,Santa Venerina,,,,1,,,,,,Shaking,Wikipedia Italian,
,Tremestieri Etneo,,,,2,,,,,,Shaking,Wikipedia Italian,
,Vizzini,,,,45,,,,,,Shaking,Wikipedia Italian,
