custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
s_0,12.78467,43.11158,555.0,False,37.91857,0.59605
s_1,12.92043,43.03671,145.0,False,518.58842,3.85446
s_2,12.60414,43.07498,623.0,False,108.00986,0.76176
s_3,12.5906,43.00802,200.0,False,499.3884,2.38175
s_4,13.00834,43.24944,579.0,False,9.72678,0.45958
s_5,12.58949,43.31381,224.0,False,485.21672,2.07007
s_6,12.59725,43.35697,1000.0,False,7.94573,0.44332
s_7,12.61106,42.93237,211.0,False,499.3884,2.38175
s_8,12.4486,43.42733,1000.0,False,7.94573,0.44332
s_9,13.22616,43.68558,258.0,False,157.30651,0.85186
s_10,12.98417,42.565,680.0,False,72.91555,0.68917
s_11,13.21028,42.76111,1000.0,False,7.94573,0.44332
s_12,13.18447,43.05968,1062.0,False,7.94573,0.44332
s_13,13.01228,42.7191,698.0,False,8.42296,0.44793
s_14,12.62917,43.53528,800.0,False,7.94573,0.44332
s_15,12.8291,42.43028,170.0,False,499.3884,2.38175
s_16,12.26285,43.81816,335.0,False,168.27835,0.87124
s_17,13.54306,41.99833,90.0,False,499.3884,2.38175
s_18,13.33703,42.37347,696.0,False,30.20105,0.56898
s_19,13.40095,42.34497,705.0,False,125.83404,0.79526
s_20,13.4009,42.3449,600.0,False,125.83404,0.79526
m_21,12.934,42.963,858.15,False,7.94573,0.44332
m_22,12.776,43.149,584.08,False,498.98784,2.36996
m_23,12.884,42.95,644.36,False,8.36842,0.44741
m_24,12.899,43.005,549.17,False,23.26405,0.54044
m_25,12.846,43.037,365.95,False,497.33812,2.32387
m_26,12.777,43.158,429.17,False,484.66406,2.06099
m_27,12.855,43.052,647.12,False,98.90685,0.74398
m_28,12.929,42.972,363.65,False,7.94573,0.44332
m_29,12.892,42.933,709.35,False,7.94573,0.44332
m_30,12.862,42.999,535.97,False,465.5151,1.81978
m_31,12.925,43.019,714.12,False,8.36842,0.44741
m_32,12.932,42.965,858.15,False,7.94573,0.44332
m_33,12.924,42.993,900.0,False,7.94573,0.44332
m_34,12.905,43.164,766.83,False,11.79233,0.47583
m_35,12.842,42.976,468.5,False,88.01385,0.72186
m_36,12.836,43.108,535.87,False,7.94573,0.44332
m_37,12.822,43.078,569.65,False,97.56677,0.74131
m_38,12.829,42.981,639.73,False,8.31426,0.44689
m_39,12.813,43.088,527.44,False,35.56349,0.58819
m_40,12.754,43.056,664.9,False,7.94573,0.44332
m_41,12.861,43.197,758.52,False,7.94573,0.44332
m_42,12.78,43.017,706.94,False,496.05022,2.29039
m_43,12.83,42.997,549.54,False,72.91555,0.68917
m_44,12.929,42.985,544.57,False,7.94573,0.44332
m_45,12.785,42.98,556.12,False,7.94573,0.44332
m_46,12.89,42.997,557.61,False,460.31564,1.77097
m_47,12.809,42.972,544.93,False,88.01385,0.72186
m_48,12.788,43.113,474.43,False,465.5151,1.81978
m_49,12.879,42.953,531.87,False,8.36842,0.44741
m_50,12.767,43.1,377.8,False,7.94573,0.44332
m_51,12.86,43.237,650.95,False,460.31564,1.77097
m_52,12.911,42.918,691.5,False,7.94573,0.44332
m_53,12.99,42.943,795.34,False,7.94573,0.44332
m_54,13.039,42.878,646.58,False,7.94573,0.44332
m_55,12.937,42.827,389.4,False,23.26405,0.54044
m_56,12.944,42.956,900.0,False,7.94573,0.44332
m_57,12.891,43.027,464.08,False,156.3343,0.85014
m_58,12.824,43.02,512.72,False,7.99726,0.44382
m_59,12.849,43.14,667.16,False,7.94573,0.44332
m_60,12.952,43.122,678.92,False,37.91857,0.59605
m_61,12.835,43.015,292.09,False,8.20709,0.44587
m_62,12.864,43.207,610.14,False,7.94573,0.44332
m_63,12.949,43.146,610.74,False,7.94573,0.44332
m_64,12.699,43.07,900.0,False,7.94573,0.44332
m_65,12.863,42.98,870.11,False,167.26006,0.86945
m_66,12.855,43.144,660.66,False,7.94573,0.44332
m_67,12.862,43.026,496.42,False,465.5151,1.81978
m_68,12.941,42.958,900.0,False,7.94573,0.44332
m_69,12.994,42.981,875.16,False,460.31564,1.77097
m_70,12.855,43.074,310.82,False,7.94573,0.44332
m_71,12.796,43.135,893.31,False,74.99087,0.69383
m_72,12.964,42.998,480.25,False,8.10143,0.44484
m_73,12.776,43.135,449.6,False,12.4426,0.48051
m_74,12.964,42.98,546.18,False,73.42932,0.69033
m_75,12.918,43.028,584.58,False,156.3343,0.85014
m_76,12.853,43.111,335.97,False,7.94573,0.44332
m_77,12.966,42.992,499.26,False,23.26405,0.54044
m_78,12.847,42.93,735.51,False,7.94573,0.44332
m_79,12.75,42.969,900.0,False,72.91555,0.68917
m_80,12.864,43.228,709.09,False,24.26474,0.54488
m_81,12.859,42.916,536.21,False,7.99726,0.44382
m_82,12.957,42.935,583.15,False,7.94573,0.44332
m_83,12.878,43.514,516.93,False,8.15408,0.44535
m_84,12.704,42.955,289.58,False,281.66001,1.08314
m_85,13.064,42.973,680.33,False,7.94573,0.44332
m_86,12.914,42.891,775.53,False,7.94573,0.44332
m_87,13.03,42.924,900.0,False,23.26405,0.54044
m_88,12.892,43.659,510.79,False,32.42242,0.57719
m_89,12.729,43.292,395.42,False,96.90268,0.73998
m_90,13.01,42.882,389.59,False,496.05022,2.29039
m_91,13.018,42.859,884.1,False,7.94573,0.44332
m_92,12.911,42.805,543.89,False,9.72678,0.45958
