STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
FSM,Foligno Santa Maria Infraportas-Base,12.704,42.955,seismic,289.58,3.9,0.63,0.0,0.072347,0.0,1.28,0.0,0.039184,0.0,0.01449,0.0,0.002041,inferred,Stations_USGS
MTL,Matelica,13.007,43.249,seismic,383.74,4.0,0.63,0.0,0.025714,0.0,1.65,0.0,0.052653,0.0,0.015612,0.0,0.003133,inferred,Stations_USGS
CAG,Cassignano,12.829,43.054,seismic,713.99,4.3,0.63,0.0,0.076327,0.0,1.84,0.0,0.054388,0.0,0.013163,0.0,0.003337,inferred,Stations_USGS
NCR,Nocera Umbra,12.785,43.113,seismic,409.09,4.6,0.63,0.0,0.139796,0.0,3.63,0.0,0.081939,0.0,0.007439,0.0,0.001949,inferred,Stations_USGS
NRC,Norcia,13.096,42.791,seismic,507.93,6.3,0.63,0.0,0.134694,0.0,12.4,0.0,0.185714,0.0,0.145918,0.0,0.009531,inferred,Stations_USGS
NCM,Nocera Umbra-Salmata,12.797,43.149,seismic,830.73,3.9,0.63,0.0,0.026327,0.0,1.36,0.0,0.027755,0.0,0.009765,0.0,0.002796,inferred,Stations_USGS
HIST_19,Norcia-Altavilla,13.089,42.796,seismic,780.91,6.5,0.63,0.0,0.234694,0.0,15.1,0.0,0.295918,0.0,0.152041,0.0,0.007255,inferred,Stations_USGS
CSA,Castelnuovo-Assisi,12.591,43.007,seismic,194.99,4.4,0.63,0.0,0.054898,0.0,2.88,0.0,0.133673,0.0,0.038163,0.0,0.011735,inferred,Stations_USGS
CTR,Borgo-Cerreto Torre,12.915,42.814,seismic,414.74,6.6,0.63,0.0,0.336735,0.0,15.4,0.0,0.39898,0.0,0.110204,0.0,0.012449,inferred,Stations_USGS
MNF,Monte Fiegni,13.185,43.063,seismic,900.0,3.6,0.63,0.0,0.015714,0.0,0.835,0.0,0.024796,0.0,0.008755,0.0,0.002153,inferred,Stations_USGS
GBP,Gubbio-Piana,12.589,43.313,seismic,324.28,4.2,0.63,0.0,0.014592,0.0,1.68,0.0,0.024286,0.0,0.022551,0.0,0.007929,inferred,Stations_USGS
CLF,Colfiorito,12.921,43.037,seismic,500.17,5.6,0.63,0.0,0.092041,0.0,7.47,0.0,0.197959,0.0,0.214286,0.0,0.008459,inferred,Stations_USGS
CSC,Cascia,13.013,42.719,seismic,616.78,5.1,0.63,0.0,0.063061,0.0,5.22,0.0,0.189796,0.0,0.053265,0.0,0.011837,inferred,Stations_USGS
LNS,Leonessa,12.984,42.565,seismic,379.55,4.3,0.63,0.0,0.04398,0.0,2.45,0.0,0.080612,0.0,0.015612,0.0,0.012347,inferred,Stations_USGS
NCB,Nocera Umbra-Biscontini,12.805,43.103,seismic,438.61,3.8,0.63,0.0,0.052143,0.0,1.25,0.0,0.031837,0.0,0.004908,0.0,0.002337,inferred,Stations_USGS
BTT2,Borgo-Ottomila 2,13.543,41.998,seismic,202.88,4.4,0.63,0.0,0.012245,0.0,2.86,0.0,0.016224,0.0,0.022143,0.0,0.021837,inferred,Stations_USGS
FHC,Forca Canapine,13.21,42.761,seismic,393.34,4.3,0.63,0.0,0.083163,0.0,2.74,0.0,0.080612,0.0,0.025612,0.0,0.003469,inferred,Stations_USGS
CLC,Colfiorito-Casermette,12.9,43.028,seismic,505.41,4.2,0.63,0.0,0.071735,0.0,2.04,0.0,0.094592,0.0,0.012551,0.0,0.006082,inferred,Stations_USGS
BVG,Bevagna,12.611,42.932,seismic,255.84,4.6,0.63,0.0,0.044796,0.0,3.18,0.0,0.060918,0.0,0.048469,0.0,0.007673,inferred,Stations_USGS
