ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS1_SLIGHT,DS2_MODARATE,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,NO_DAMAGE,LIGHT_DAMAGE,MODERATE_DAMAGE,HEAVY_DAMAGE,COLLAPSE,UNKNOWN,NO_DAMAGE,PARTIAL_DAMAGE,HALF_COLLAPSE,MASSIVE_HALF_COLLAPSE,TOTAL_COLLAPSE_IAFC,TOTAL_COLLAPSE_NR,TOTAL_COLLAPSE_WA,COMPLETE_DESTRUCTION_OR_MISSING,PARTIAL_DAMAGE,BELOW_PARTIAL_DAMAGE,FIRE
3,Iwate,31,Kamaishi City,CR/LFINF,,,,,,,,,Buildings,,EEFIT report + Cambridge Earthquake Impact Database,The damage study is for the tsunami.,3,14,3,3,0,,,,,,,,,,,,
3,Iwate,31,Kamaishi City,Steel frame,,,,,,,,,Buildings,,EEFIT report + Cambridge Earthquake Impact Database,The damage study is for the tsunami.,6,47,11,11,0,,,,,,,,,,,,
3,Iwate,31,Kamaishi City,Timber frame,,,,,,,,,Buildings,,EEFIT report + Cambridge Earthquake Impact Database,The damage study is for the tsunami.,2,12,6,1,27,,,,,,,,,,,,
4,Miyagi,28,Kesennuma City,CR/LFINF,,,,,,,,,Buildings,,EEFIT report + Cambridge Earthquake Impact Database,The damage study is for the tsunami.,1,7,0,1,0,,,,,,,,,,,,
4,Miyagi,28,Kesennuma City,Steel frame,,,,,,,,,Buildings,,EEFIT report + Cambridge Earthquake Impact Database,The damage study is for the tsunami.,5,7,9,12,3,,,,,,,,,,,,
4,Miyagi,28,Kesennuma City,Timber frame,,,,,,,,,Buildings,,EEFIT report + Cambridge Earthquake Impact Database,The damage study is for the tsunami.,3,9,9,25,406,,,,,,,,,,,,
12,Chiba,12,Asahi City,CR/LFINF,,,,,,,,,Buildings,,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT) + Cambridge Earthquake Impact Database","Partial damage: Partial damage (Inundation below floor level); Half collapse: Half collapse (Inundation above floor level, damage area is between 20% to 70% of the total floor area); Massive half-collapse: Housing to residents is partially destroyed, it is difficult to live in the house if not repaired, including the repair of major structural elements (damage area is between 50% and 70% of the total floor area of the dwelling house); Total collapse (IAFC): Total collapse (Inundation above the first ceiling level); Total collapse (NR): Total collapse (Non repairable, more than 70% of the total floor area of the dwelling house); Total collapse (WA): Total collapse (Washed away). The damage study is for the tsunami.",,,,,,0,31,3,33,5,0,5,0,,,,
12,Chiba,12,Asahi City,Steel,,,,,,,,,Buildings,,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT) + Cambridge Earthquake Impact Database","Partial damage: Partial damage (Inundation below floor level); Half collapse: Half collapse (Inundation above floor level, damage area is between 20% to 70% of the total floor area); Massive half-collapse: Housing to residents is partially destroyed, it is difficult to live in the house if not repaired, including the repair of major structural elements (damage area is between 50% and 70% of the total floor area of the dwelling house); Total collapse (IAFC): Total collapse (Inundation above the first ceiling level); Total collapse (NR): Total collapse (Non repairable, more than 70% of the total floor area of the dwelling house); Total collapse (WA): Total collapse (Washed away). The damage study is for the tsunami.",,,,,,0,15,0,2,2,0,3,0,,,,
12,Chiba,12,Asahi City,Wooden,,,,,,,,,Buildings,,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT) + Cambridge Earthquake Impact Database","Partial damage: Partial damage (Inundation below floor level); Half collapse: Half collapse (Inundation above floor level, damage area is between 20% to 70% of the total floor area); Massive half-collapse: Housing to residents is partially destroyed, it is difficult to live in the house if not repaired, including the repair of major structural elements (damage area is between 50% and 70% of the total floor area of the dwelling house); Total collapse (IAFC): Total collapse (Inundation above the first ceiling level); Total collapse (NR): Total collapse (Non repairable, more than 70% of the total floor area of the dwelling house); Total collapse (WA): Total collapse (Washed away). The damage study is for the tsunami.",,,,,,0,1172,75,451,417,0,521,0,,,,
12,Chiba,12,Asahi City,Prefabricated Structures,,,,,,,,,Buildings,,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT) + Cambridge Earthquake Impact Database","Partial damage: Partial damage (Inundation below floor level); Half collapse: Half collapse (Inundation above floor level, damage area is between 20% to 70% of the total floor area); Massive half-collapse: Housing to residents is partially destroyed, it is difficult to live in the house if not repaired, including the repair of major structural elements (damage area is between 50% and 70% of the total floor area of the dwelling house); Total collapse (IAFC): Total collapse (Inundation above the first ceiling level); Total collapse (NR): Total collapse (Non repairable, more than 70% of the total floor area of the dwelling house); Total collapse (WA): Total collapse (Washed away). The damage study is for the tsunami.",,,,,,0,268,6,68,60,0,79,0,,,,
12,Chiba,12,Asahi City,Unknown ,,,,,,,,,Buildings,,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT) + Cambridge Earthquake Impact Database","Partial damage: Partial damage (Inundation below floor level); Half collapse: Half collapse (Inundation above floor level, damage area is between 20% to 70% of the total floor area); Massive half-collapse: Housing to residents is partially destroyed, it is difficult to live in the house if not repaired, including the repair of major structural elements (damage area is between 50% and 70% of the total floor area of the dwelling house); Total collapse (IAFC): Total collapse (Inundation above the first ceiling level); Total collapse (NR): Total collapse (Non repairable, more than 70% of the total floor area of the dwelling house); Total collapse (WA): Total collapse (Washed away). The damage study is for the tsunami.",,,,,,0,0,0,0,0,0,0,0,,,,
12,Chiba,56,Chosei-mura,CR/LFINF,,,,,,,,,Buildings,,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT) + Cambridge Earthquake Impact Database","Partial damage: Partial damage (Inundation below floor level); Half collapse: Half collapse (Inundation above floor level, damage area is between 20% to 70% of the total floor area); Massive half-collapse: Housing to residents is partially destroyed, it is difficult to live in the house if not repaired, including the repair of major structural elements (damage area is between 50% and 70% of the total floor area of the dwelling house); Total collapse (IAFC): Total collapse (Inundation above the first ceiling level); Total collapse (NR): Total collapse (Non repairable, more than 70% of the total floor area of the dwelling house); Total collapse (WA): Total collapse (Washed away). The damage study is for the tsunami.",,,,,,0,0,0,4,0,0,0,0,,,,
