custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
s_0,141.8191,42.8739,293.2,0,463.9111179089839,1.8041722769936175
s_1,142.1346,42.7608,641.3,0,95.39021797864334,0.7369457587310216
s_2,142.1285,42.8714,775.5,0,36.98441506390917,0.5929690152970358
s_3,142.2973,42.7275,489.1,0,242.24824102435824,1.0047144674245132
s_4,141.8221,42.7655,291.9,0,464.862263056706,1.8133672900013242
s_5,141.9279,42.575,160.9,0,517.2863242405027,3.584375232591192
s_6,142.2296,42.7031,487.4,0,244.35826909088684,1.0087244364556827
s_7,141.7904,42.9986,173.8,0,515.1994041538736,3.2816831180245845
s_8,141.4021,42.7755,641.3,0,95.39021797864334,0.7369457587310216
s_9,141.8063,43.0587,175.8,0,514.8325845838358,3.2390078017355033
s_10,142.0381,42.5126,248.6,0,491.1417653387211,2.1790153819941662
s_11,142.0543,42.4825,327.1,0,435.7246656281494,1.5919119385025167
s_12,141.6057,42.6344,260.2,0,485.10661604896524,2.068245270575672
s_13,141.601,42.79,281.7,0,471.99121968561286,1.8886758591968686
s_14,141.0814,42.4211,313.2,0,448.0642776762161,1.6729905827862441
s_15,142.131,42.5886,448.3,0,294.1727274853313,1.1099896900871884
s_16,141.6523,43.2204,199.3,0,509.5339825587956,2.805932584924288
s_17,141.0017,42.4116,325.1,0,437.5657334091801,1.6031205051332054
s_18,141.5462,43.1161,149.9,0,518.7184749684619,3.8868386644177666
s_19,141.3497,42.5629,405.6,0,348.76746531537236,1.2446565577039372
s_20,141.0643,42.6476,405.6,0,348.76746531537236,1.2446565577039372
m_21,141.6713,42.6755,150.6,0,518.6360373423471,3.8661777257882703
m_22,141.4297,43.0369,242.2,0,494.1728590099056,2.2450104527570325
s_23,141.5524,42.9925,266.8,0,481.35180829268234,2.009819234086734
s_24,141.6399,42.888,227.8,0,500.2531066617194,2.40808674300659
s_25,141.6635,43.3443,448.1,0,294.43109767955167,1.1105564693806766
s_26,142.3688,42.3414,261.0,0,484.66405878462905,2.0609945427152447
s_27,142.3572,42.3498,481.9,0,251.2274636302039,1.021905786946794
s_28,141.0791,42.6711,405.6,0,348.76746531537236,1.2446565577039372
s_29,141.3499,42.5627,405.6,0,348.76746531537236,1.2446565577039372
s_30,141.5836,43.4087,378.6,0,381.4483671909011,1.3467127282164757
s_31,141.8553,43.3332,298.8,0,459.70360776305705,1.765542529793208
s_32,141.0319,42.3483,167.6,0,516.2609964060442,3.4209293874491746
s_33,141.3513,43.139,146.8,0,519.0701460989791,3.98087897574298
m_34,141.3073,43.1273,150.8,0,518.6122753831289,3.8603123613164003
s_35,140.9697,41.9051,207.5,0,507.2110717952951,2.6794451711954674
s_36,140.7818,43.1974,600.0,0,125.83403858285287,0.7952589249703402
s_37,142.0085,42.993,527.0,0,197.27820101697353,0.922491213723929
s_38,140.8064,42.0436,263.4,0,483.3156510930776,2.0395255046266803
s_39,141.0025,41.7162,641.3,0,95.39021797864334,0.7369457587310216
s_40,142.5643,42.2528,427.7,0,320.74354730499647,1.171359704416021
s_41,142.0085,42.9933,527.0,0,197.27820101697353,0.922491213723929
s_42,141.1411,41.8345,405.6,0,348.76746531537236,1.2446565577039372
s_43,141.3046,43.1721,260.2,0,485.10661604896524,2.068245270575672
s_44,140.9766,42.768,405.6,0,348.76746531537236,1.2446565577039372
s_45,141.5924,43.5324,641.3,0,95.39021797864334,0.7369457587310216
s_46,141.8978,43.23,450.4,0,291.46041431466114,1.1040710780914371
m_47,141.3069,43.0373,641.3,0,95.39021797864334,0.7369457587310216
s_48,141.1651,42.9721,641.3,0,95.39021797864334,0.7369457587310216
s_49,141.5171,43.2237,211.1,0,506.10611396696027,2.6272357390186887
s_50,140.6958,41.8995,459.4,0,279.8586358330622,1.0793619116099218
s_51,140.5633,42.0963,268.2,0,480.5247770662517,1.9978217885940195
s_52,141.7754,43.1968,173.0,0,515.342741368981,3.299049563387382
s_53,140.8084,42.763,290.1,0,466.1633210770892,1.8262447500273737
s_54,142.4484,42.8775,513.6,0,212.67223054308758,0.9500764758642307
s_55,142.3995,42.9805,521.8,0,203.1787568024933,0.9330156332578403
s_56,140.8658,42.4727,305.9,0,454.11192341009496,1.7187418845007116
s_57,141.9175,43.5524,302.5,0,456.8254646753906,1.7408596075684457
s_58,142.8395,43.0736,409.5,0,343.88498821608056,1.231105052397043
s_59,140.9364,42.7977,405.6,0,348.76746531537236,1.2446565577039372
s_60,141.909,43.5138,183.8,0,513.2397613773871,3.07823890033953
m_61,140.694,42.8572,510.4,0,216.43663978291562,0.9568938880637616
s_62,140.8199,43.0842,357.3,0,405.3941700451265,1.4389437317409342
s_63,141.4346,43.4001,641.3,0,95.39021797864334,0.7369457587310216
s_64,143.6588,42.8087,282.5,0,471.45342573970504,1.8825584665333175
s_65,140.9935,43.1907,454.0,0,286.814309916521,1.094061376697999
s_66,142.5446,42.5977,775.5,0,36.98441506390917,0.5929690152970358
s_67,142.6562,43.0406,641.3,0,95.39021797864334,0.7369457587310216
s_68,142.1914,43.5199,459.4,0,279.8586358330622,1.0793619116099218
s_69,142.4992,42.4194,775.5,0,36.98441506390917,0.5929690152970358
s_70,140.82,43.0846,357.3,0,405.3941700451265,1.4389437317409342
s_71,143.4483,42.9283,390.8,0,366.95421695217834,1.2987261082794157
s_72,141.1972,41.2948,224.4,0,501.5454138439442,2.449872252464727
s_73,141.1691,41.4053,204.1,0,508.2063635036125,2.7305691849766336
s_74,140.9127,41.5273,369.8,0,391.5684951290165,1.383437172365264
s_75,142.2834,43.9754,440.3,0,304.50896517617247,1.1330917723598715
s_76,143.312,42.2864,398.2,0,357.93411541977144,1.2711527627485595
s_77,140.3758,42.1244,641.3,0,95.39021797864334,0.7369457587310216
s_78,142.3409,43.3697,510.7,0,216.08235558576604,0.956250864585868
s_79,140.7672,42.9057,318.1,0,443.83662840970385,1.643541765320358
s_80,140.7383,41.7701,260.2,0,485.10661604896524,2.068245270575672
s_81,141.7876,44.0254,325.2,0,437.47419753948145,1.6025565662494976
s_82,143.4209,42.6181,344.5,0,418.81050102519316,1.5002689027191938
s_83,142.9176,43.1739,370.5,0,390.7746516003717,1.3804474133856401
s_84,141.1416,40.8721,404.5,0,350.1384817741302,1.2485294433580796
s_85,141.3882,43.6015,641.3,0,95.39021797864334,0.7369457587310216
s_86,141.1033,40.8564,238.8,0,495.6993533908096,2.281614758132549
s_87,140.3695,41.9352,494.5,0,235.5906215800087,0.9921728520920571
s_88,140.8866,42.5533,488.5,0,242.9922138193425,1.0061263343156837
s_89,141.3685,43.7735,625.77,0,106.01253640184287,0.7579056087449727
s_90,141.3669,40.6803,760.0,0,41.306642430928136,0.6068241170383324
