STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
HIST_5,Germy,48.07,39.02,seismic,640.4,null,null,0,0.044898,,,,,,,,,inferred,Stations_USGS
20,Miyaneh,47.71,37.43,seismic,406.19,3.5,0.63,0,0.0166,0,0.84,null,,null,,null,,inferred,Stations_USGS
1695,AstaraStation,48.86,38.43,seismic,217.11,null,null,0,0.04527,0,3.812,null,,null,,null,,inferred,Stations_USGS
5,Bile-Savar,48.32,39.36,seismic,468.14,4,0.63,0,0.01153,0,1.81,null,,null,,null,,inferred,Stations_USGS
19,Meshkin Shahr,47.67,38.39,seismic,476.14,3.6,0.63,0,0.02328,0,1.02,null,,null,,null,,inferred,Stations_USGS
24,Razi-Khorasan,48.09,38.63,seismic,407.82,4.1,0.63,0,0.0465,0,1.41,null,,null,,null,,inferred,Stations_USGS
HIST_4,Bilehsavar,48.37,39.38,seismic,273.2,null,null,0,0.011531,,,,,,,,,inferred,Stations_USGS
12,Kariq,48.06,37.92,seismic,554.87,6.5,0.63,0,0.58568,0,16.14,null,,null,,null,,inferred,Stations_USGS
25,Sarab,47.54,37.94,seismic,265.49,5.2,0.63,0,0.06269,0,6.02,null,,null,,null,,inferred,Stations_USGS
21,Namin,48.48,38.42,seismic,409.65,4.2,0.63,0,0.10944,0,2.64,null,,null,,null,,inferred,Stations_USGS
1,Ardebil 1,48.28,38.23,seismic,274.46,6.1,0.63,0,0.11555,0,12.2,null,,null,,null,,inferred,Stations_USGS
4,Astara,48.87,38.42,seismic,214.43,4.5,0.63,0,0.04444,0,3.74,null,,null,,null,,inferred,Stations_USGS
15,Liqvan,46.43,37.83,seismic,500.32,3.3,0.63,0,0.01115,0,0.64,null,,null,,null,,inferred,Stations_USGS
8,Haris,47.12,38.25,seismic,395.03,4,0.63,0,0.01789,0,1.88,null,,null,,null,,inferred,Stations_USGS
10,Hoorand,47.37,38.86,seismic,508.87,4,0.63,0,0.06129,0,1.93,null,,null,,null,,inferred,Stations_USGS
HIST_14,Miyaneh,47.71,37.42,seismic,327.81,null,null,0,0.016633,,,,,,,,,inferred,Stations_USGS
26,Tazeh Kandi,47.73,39.03,seismic,547.65,3.9,0.63,0,0.02509,0,1.57,null,,null,,null,,inferred,Stations_USGS
6,Germi,48.06,39.05,seismic,610.45,4.6,0.63,0,0.04522,0,4,null,,null,,null,,inferred,Stations_USGS
