# 20120811_M6.2_Ahar-Varzaghan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Donner_et_al_2015
custom_site_id,lon,lat,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,ZhaoEtAl2006Asc
s_0,47.059,38.474,0.01747,0.01747,0.01747,0.01747
s_1,45.89099999999999,37.485,0.01911,0.01911,0.01911,0.01911
s_10,46.83699999999999,37.846,0.00744,0.00744,0.00744,0.00744
s_11,47.37299999999999,38.123,0.17172,0.17172,0.17172,0.17172
s_12,46.228999999999985,38.86,0.08105,0.08105,0.08105,0.08105
s_13,44.666,37.759,0.01427,0.01427,0.01427,0.01427
s_14,44.95400000000001,38.207,0.01329,0.01329,0.01329,0.01329
s_15,45.036,37.989,0.01506,0.01506,0.01506,0.01506
s_16,48.057000000000016,39.05,0.01335,0.01335,0.01335,0.01335
s_17,45.662000000000006,38.839,0.03346,0.03346,0.03346,0.03346
s_18,47.05000000000001,37.475,0.01664,0.01664,0.01664,0.01664
s_19,47.119,38.247,0.10724,0.10724,0.10724,0.10724
s_2,46.156000000000006,38.231,0.02088,0.02088,0.02088,0.02088
s_20,48.42500000000001,37.936,0.0115,0.0115,0.0115,0.0115
s_21,48.89699999999999,37.839,0.01017,0.01017,0.01017,0.01017
s_22,47.369,38.858,0.11815,0.11815,0.11815,0.11815
s_23,47.03899999999999,38.87,0.10547,0.10547,0.10547,0.10547
s_24,46.166,38.688,0.06964,0.06964,0.06964,0.06964
s_25,46.589,38.154,0.17959,0.17959,0.17959,0.17959
s_26,48.06200000000001,37.918,0.02254,0.02254,0.02254,0.02254
s_27,48.236999999999995,37.957,0.00664,0.00664,0.00664,0.00664
s_28,46.432000000000016,37.833,0.03913,0.03913,0.03913,0.03913
s_29,47.82599999999999,38.507,0.03642,0.03642,0.03642,0.03642
s_3,48.25800000000001,38.222,0.01085,0.01085,0.01085,0.01085
s_30,46.24000000000001,37.396,0.01477,0.01477,0.01477,0.01477
s_31,46.10499999999999,36.966,0.01506,0.01506,0.01506,0.01506
s_32,45.774,38.445,0.0208,0.0208,0.0208,0.0208
