calc_id,description,cal_time,recording_stations,gmlt,rupture,max_distance,gmpe,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
23,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",1027, All_Panjamani_USGS, Adjusted, Kobayashi, 250km,AtkinsonBoore2003SInter,PGA,0.557616,0.025,0.083,0.025
18,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:50km
",284, Seismic, Adjusted, Yagi, 50km,AtkinsonBoore2003SInter,PGA,0.39388824,0.027,0.212,0.027
17,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
",284, Seismic, Adjusted, USGS, 250km,AtkinsonBoore2003SInter,PGA,0.3987916,-0.027,0.143,0.027
9,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",301, Seismic, Adjusted, Kobayashi, 50km,AtkinsonBoore2003SInter,PGA,0.39438,0.029,0.212,0.029
6,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:50km
",334, Seismic, Adjusted, Hayes, 50km,AtkinsonBoore2003SInter,PGA,0.3945489,0.03,0.212,0.03
12,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:50km
",318, Seismic, Adjusted, Stevens, 50km,AtkinsonBoore2003SInter,PGA,0.396448,0.042,0.212,0.042
16,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:150km
",275, Seismic, Adjusted, USGS, 150km,AtkinsonBoore2003SInter,PGA,0.39851588,-0.043,0.178,0.043
15,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:50km
",287, Seismic, Adjusted, USGS, 50km,AtkinsonBoore2003SInter,PGA,0.4004357,0.065,0.212,0.065
13,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:150km
",318, Seismic, Adjusted, Stevens, 150km,AtkinsonBoore2003SInter,PGA,0.39430162,-0.079,0.178,0.079
14,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:250km
",333, Seismic, Adjusted, Stevens, 250km,AtkinsonBoore2003SInter,PGA,0.39379367,-0.108,0.131,0.108
8,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:250km
",320, Seismic, Adjusted, Hayes, 250km,ZhaoEtAl2016SInter,PGA,1.5638217,0.136,0.154,0.136
