STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
INMD,"Presa Infiernillo, margen derecha",-101.9,18.283,seismic,536.64,5.7,0.63,0.0,0.144898,0.0,7.53,0.0,0.180122,0.0,0.066315,0.0,0.028957,inferred,Stations_USGS
TEAC,Teacalco,-99.45418,18.61773,seismic,442.72,5.3,0.63,0.0,0.052245,0.0,7.64,0.0,0.061804,0.0,0.056217,0.0,0.018591,inferred,Stations_USGS
CU01,"Ciudad Universitaria, Laboratorio de Instrumentacion Sismica",-99.183,19.33,seismic,367.31,5.5,0.63,0.0,0.033265,0.0,8.89,0.0,0.046528,0.0,0.093298,0.0,0.043546,inferred,Stations_USGS
COYC,Coyuca,-100.089963,16.997788,seismic,296.06,5.2,0.63,0.0,0.042857,0.0,7.54,0.0,0.046453,0.0,0.037241,0.0,0.009185,inferred,Stations_USGS
CARI,"Presa Caracol, margen izquierda",-99.967,17.95,seismic,900.0,4.9,0.63,0.0,0.091224,0.0,5.7,0.0,0.144204,0.0,0.041217,0.0,0.029321,inferred,Stations_USGS
UNIO,La Union,-101.81057,17.98757,seismic,241.69,6.7,0.63,0.0,0.169388,0.0,21.7,0.0,0.479051,0.0,0.135541,0.0,0.047047,inferred,Stations_USGS
TACY,Tacubaya,-99.195294,19.404603,seismic,431.08,5.7,0.63,0.0,0.034184,0.0,10.6,0.0,0.029178,0.0,0.035523,0.0,0.069216,inferred,Stations_USGS
SUCH,El Suchil,-100.63833,17.22618,seismic,503.48,5.8,0.63,0.0,0.105102,0.0,11.5,0.0,0.169796,0.0,0.051912,0.0,0.013084,inferred,Stations_USGS
SCT1,Secretaria de Comunicaciones y Transportes,-99.148656,19.394675,seismic,221.17,8.1,0.63,0.0,0.165306,0.0,58.7,0.0,0.233286,0.0,0.232827,0.0,0.307612,inferred,Stations_USGS
PARS,El Paraiso,-100.214,17.344,seismic,263.25,4.7,0.63,0.0,0.112245,0.0,5.03,0.0,0.131847,0.0,0.043815,0.0,0.014478,inferred,Stations_USGS
TLHD,Tlahuac Deportivo,-99.035,19.293,seismic,331.47,7.4,0.63,0.0,0.120408,0.0,35.1,0.0,0.147714,0.0,0.223541,0.0,0.150602,inferred,Stations_USGS
FICA,Filo de Caballo,-99.842,17.652,seismic,566.89,5.5,0.63,0.0,0.070612,0.0,8.72,0.0,0.094362,0.0,0.059249,0.0,0.011859,inferred,Stations_USGS
