FIELD,DESCRIPTION
Year,1999
Country,Mexico
Region,North America
Event Name,Oaxaca 1999
Local Date,30/09/1999
Local Time,11:31:13
Latitude (decimal degrees),16.056
Longitude (decimal degrees),-97.004
Depth (km),39
Mw,7.4
Max Intensity (MMI),VIII
Fault mechanism,Normal
Tectonic region type,Subduction Intraslab
Fatalities,31-50
Injured,160-215
Displaced population,
Affected population,~115000
Affected units,~86628 
Damaged units,2000-45697 
Collapsed units,~9538 
Economic losses,164.8 M USD 
Insured losses,
Earthquake-triggered effects,Landslides 
USGS event ID,usp0009f7v
Wikipedia page,https://en.wikipedia.org/wiki/1999 Oaxaca earthquake
