STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA
OBS_151,Unknown,151.74109,-32.03251,macroseismic,0.01533,1.3125
OBS_52,Unknown,151.70753,-32.91168,macroseismic,0.24145,1.3125
OBS_44,Unknown,151.72005,-32.88389,macroseismic,0.23167,1.3125
OBS_45,Unknown,151.72899,-32.88443,macroseismic,0.22998,1.3125
OBS_27,Unknown,151.63016,-32.96655,macroseismic,0.2512,1.3125
OBS_15,Unknown,151.60481,-33.00686,macroseismic,0.14306,1.3125
OBS_69,Unknown,151.67225,-32.9209,macroseismic,0.2512,1.3125
OBS_18,Unknown,151.68576,-32.88213,macroseismic,0.13544,1.3125
OBS_137,Unknown,152.41868,-32.34124,macroseismic,0.04209,1.3125
OBS_61,Unknown,151.74946,-32.92067,macroseismic,0.40671,1.3125
OBS_47,Unknown,151.78154,-32.91598,macroseismic,0.22343,1.3125
OBS_22,Unknown,151.71828,-32.99428,macroseismic,0.13872,1.3125
OBS_57,Unknown,151.73577,-32.8885,macroseismic,0.40285,1.3125
OBS_12,Unknown,151.65282,-33.08034,macroseismic,0.13231,1.3125
OBS_73,Unknown,151.58375,-33.06611,macroseismic,0.23715,1.3125
OBS_46,Unknown,151.75501,-32.89198,macroseismic,0.22603,1.3125
OBS_20,Unknown,151.71418,-32.96713,macroseismic,0.1401,1.3125
OBS_135,Unknown,150.8203,-32.3426,macroseismic,0.04214,1.3125
OBS_34,Unknown,151.60267,-32.96897,macroseismic,0.2512,1.3125
OBS_29,Unknown,151.65469,-32.95146,macroseismic,0.2512,1.3125
OBS_5,Unknown,151.6034,-33.02638,macroseismic,0.14306,1.3125
OBS_184,Unknown,151.69936,-32.99724,macroseismic,0.43533,1.3125
OBS_51,Unknown,151.69387,-32.89778,macroseismic,0.18194,1.3125
OBS_55,Unknown,151.73256,-32.93964,macroseismic,0.31645,1.3125
OBS_80,Unknown,151.56268,-32.58662,macroseismic,0.05819,1.3125
OBS_19,Unknown,151.71661,-32.9569,macroseismic,0.13963,1.3125
OBS_23,Unknown,151.67917,-32.9963,macroseismic,0.14306,1.3125
OBS_102,Unknown,150.84539,-33.86704,macroseismic,0.01362,1.3125
OBS_101,Unknown,151.26814,-33.4209,macroseismic,0.02282,1.3125
OBS_6,Unknown,151.59235,-33.04419,macroseismic,0.14001,1.3125
OBS_14,Unknown,151.65018,-33.05791,macroseismic,0.13704,1.3125
OBS_149,Unknown,151.19107,-31.82066,macroseismic,0.01284,1.3125
OBS_9,Unknown,151.61384,-33.04652,macroseismic,0.14014,1.3125
OBS_36,Unknown,151.5939,-33.01383,macroseismic,0.2512,1.3125
OBS_1,Unknown,151.53714,-33.01287,macroseismic,0.13962,1.3125
OBS_17,Unknown,151.65751,-32.88237,macroseismic,0.138,1.3125
OBS_67,Unknown,151.74118,-32.95058,macroseismic,0.237,1.3125
OBS_133,Unknown,151.09704,-32.54385,macroseismic,0.05199,1.3125
OBS_100,Unknown,151.41161,-33.3648,macroseismic,0.02669,1.3125
OBS_25,Unknown,151.61491,-32.92006,macroseismic,0.2512,1.3125
OBS_104,Unknown,150.37795,-33.77361,macroseismic,0.01205,1.3125
OBS_90,Unknown,151.39394,-33.25586,macroseismic,0.05969,1.3125
OBS_154,Unknown,152.3065,-32.21471,macroseismic,0.01522,1.3125
OBS_43,Unknown,151.69427,-32.96341,macroseismic,0.2512,1.3125
OBS_70,Unknown,151.64367,-32.97318,macroseismic,0.2512,1.3125
OBS_156,Unknown,151.74363,-32.30712,macroseismic,0.01959,1.3125
OBS_4,Unknown,151.58442,-33.02878,macroseismic,0.14227,1.3125
OBS_8,Unknown,151.59665,-33.05504,macroseismic,0.13814,1.3125
OBS_107,Unknown,150.10395,-33.49946,macroseismic,0.01166,1.3125
OBS_92,Unknown,151.86132,-32.74758,macroseismic,0.06176,1.3125
OBS_38,Unknown,151.64365,-33.01667,macroseismic,0.2512,1.3125
OBS_81,Unknown,151.48724,-32.68833,macroseismic,0.1084,1.3125
